adjudication_case_id,calibration_id,source_review_id,pdf_readiness_id,candidate_queue_row_id,state,municipality,government_name,unit_type,candidate_source_type,pdf_page_count,blinded_candidate_pages,blinded_nearby_pages,blinded_navigation_pages,content_artifact_path,human_reviewer,human_reviewed_at,human_review_status,human_wage_schedule_present,human_candidate_page_relationship,human_visual_table_type,human_non_wage_family,human_navigation_needed,human_navigation_target_found,human_extraction_complexity,human_extraction_recommendation,human_confidence,human_notes
adj_43bb432b3f3794d9948c,cal_01a57230b8158e19db8100b3,sr_4df7d032d5e831a67fdfe510,pr_13796e66888377c86b71dcb1,NSCQ-FL-20260720-0229,FL,Lake Wales,CITY OF LAKE WALES,fire,memorandum_or_settlement,2,"1,2",,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0479_sr_4df7d032d5e831a67fdfe510.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_a1d959b77dd0b7b1dd86,cal_045e7e8100647061f677cbed,sr_c559293254377ab55982205c,pr_e2d785f7bbcbc28ba7b4f38e,NSCQ-DE-20260720-0001,DE,Wilmington,CITY OF WILMINGTON,fire,wage_schedule_or_compensation_plan,17,"3,5,6,8,9,10,16,17","2,4,7,11,15","1,12,13,14",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0490_sr_c559293254377ab55982205c.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_372decf0ca2c77a33b8a,cal_04e9c405fa82bce92279cc76,sr_62322cb966f64b0f81a2dc6a,pr_001ccda7e40cd3eb951c6c24,NSCQ-CA-20260720-0544,CA,Wasco,CITY OF WASCO,police,memorandum_or_settlement,21,"5,8,10,12","4,6,7,9,11,13","1,2,20,21",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0460_sr_62322cb966f64b0f81a2dc6a.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_f6c02e1d24efbe6d8eea,cal_075c10415a94e03dadfb692f,sr_272eba05d55d401649848e75,pr_d365eafbec62b9a6926306bf,NSCQ-MI-20260720-0107,MI,Hamtramck,CITY OF HAMTRAMCK,fire,memorandum_or_settlement,5,"1,2,3",4,5,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0485_sr_272eba05d55d401649848e75.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_c267df3868ee5b738d9c,cal_0ccdac533aafb9416dffec65,sr_9a13313d7b45e8058dc24607,pr_586455a7b202bb679e8cd632,NSCQ-MD-20260720-0049,MD,Ocean City,TOWN OF OCEAN CITY,police,cba,28,"2,4,7,10,13,15,16,27","1,3,5,6,8,9,11,12,14,17,26,28","18,19,20,21",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0127_sr_9a13313d7b45e8058dc24607.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_f1615a4a47f0fc77c795,cal_0d99791bdc0cd19c28d5f5de,sr_7bcc2dd2d88906ef9ef58854,pr_e023663dc6160bcb0dbca7a8,NSCQ-OK-20260720-0015,OK,Lawton,CITY OF LAWTON,fire,cba,243,"82,109,242,243","81,83,108,110,241","1,2,3,4",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0160_sr_7bcc2dd2d88906ef9ef58854.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_132cea3ee5628e488480,cal_0e71fee5856adca413c60d77,sr_d73c9a81583ea67b229040c7,pr_7041ff092a907cc2ec8d7efb,NSCQ-AL-20260720-0010,AL,Vestavia Hills,CITY OF VESTAVIA HILLS,non_safety,wage_schedule_or_compensation_plan,6,"2,3,4,5,6",1,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0487_sr_d73c9a81583ea67b229040c7.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_e44d755471cf49a42a26,cal_20f83d208f858a0cf99daad1,sr_0f22987e1039f88dbc9835c6,pr_44113f80a07022384f54a814,NSCQ-NC-20260720-0002,NC,Winston-Salem,CITY OF WINSTON-SALEM,fire,wage_schedule_or_compensation_plan,1,1,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0486_sr_0f22987e1039f88dbc9835c6.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_9d9715e2e9b339b407c8,cal_211c78b8eb2cdd5520344d2c,sr_0c75170799891bb601b9aaa4,pr_74aa79cf66b5844ce19c3150,NSCQ-MN-20260720-0082,MN,North Mankato,CITY OF NORTH MANKATO,police,cba,20,"7,9","6,8,10","1,2,19,20",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0440_sr_0c75170799891bb601b9aaa4.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_2c58225b56b2be6c3812,cal_2cc9c8211edf7dc1fc8bbd7c,sr_16863b05cf84ae11399f869d,pr_9b324528ec6c24d540b83cc1,NSCQ-MI-20260720-0160,MI,Grosse Pointe Woods,CITY OF GROSSE POINTE WOODS,police,memorandum_or_settlement,3,"1,2",3,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0469_sr_16863b05cf84ae11399f869d.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_e2832ddb9903e9be0d15,cal_2d661ee8ab7ef19340fbad0c,sr_d950ee809737f7cc9ed93a71,pr_4da0b21f4daa5b1243cfe585,NSCQ-IL-20260720-0176,IL,North Chicago,CITY OF NORTH CHICAGO,non_safety,memorandum_or_settlement,62,"15,21,28,32,62","14,16,20,22,27,29,31,33,61","1,2,3,4",tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0495_sr_d950ee809737f7cc9ed93a71.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_93b3857f5afaebbdb210,cal_32e26e9fd1b36d8f29174580,sr_982e3d978294d76b87e6eecc,pr_b3f02bdc7284604509c80d90,NSCQ-KS-20260720-0034,KS,Pittsburg,CITY OF PITTSBURG,non_safety,ordinance_or_policy,7,"1,2,3,4,5,6,7",,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0497_sr_982e3d978294d76b87e6eecc.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_6a600456a32507e3dfff,cal_3641a73760e319fa915df354,sr_32786611fb6285f4b9d0ad9d,pr_0dfcd8ea30c0d6f761ef2f7e,NSCQ-IN-20260720-0031,IN,Lawrence,CITY OF LAWRENCE,non_safety,ordinance_or_policy,3,"1,2",3,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0481_sr_32786611fb6285f4b9d0ad9d.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_ed08a4e3218fe321e3ef,cal_3780a6990e664d2e6c35ff2e,sr_fe40278a3d486e04f76aefa4,pr_d5f23c592a744b92e056f7eb,NSCQ-IN-20260720-0009,IN,Bloomington,CITY OF BLOOMINGTON,police,cba,48,"2,11,22,25,27,47","1,3,10,12,21,23,24,26,28,46,48","4,5,6,7",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0103_sr_fe40278a3d486e04f76aefa4.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_54b5ba263fe292194749,cal_37bc3a947fbe1061dfff33b8,sr_346a89c5f1515120aa023e79,pr_7be15724a711c8f633f1ea67,NSCQ-MD-20260720-0034,MD,Cumberland,CITY OF CUMBERLAND,fire,ordinance_or_policy,12,"2,5,6,8,10,11,12","1,3,4,7,9",,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0481_sr_346a89c5f1515120aa023e79.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_7d5329d9646f47217b36,cal_37ea2ac16336a1ebf64724bd,sr_012768cc36d0233f0b1abdd6,pr_c9bff97dd79338da1191f9e2,NSCQ-ND-20260720-0001,ND,Fargo,CITY OF FARGO,non_safety,wage_schedule_or_compensation_plan,4,"1,2,3,4",,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0488_sr_012768cc36d0233f0b1abdd6.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_ab23a74c384ed6615d10,cal_3bb99602441b9cfadcc0f8cc,sr_0c39899118ec6a5846bec1c9,pr_b68ae4323fded1fd1263baae,NSCQ-CA-20260720-0295,CA,Redlands,CITY OF REDLANDS,non_safety,cba,36,"5,17,19,20","4,6,16,18,21","1,2,35,36",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0150_sr_0c39899118ec6a5846bec1c9.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_2f459f3609947ea66038,cal_433c56e99c2468011e67a57f,sr_c24dec1e2e6f33eb55b8dc73,pr_268e1c3ca19f82bbd05b8dc5,NSCQ-TN-20260720-0003,TN,Memphis,CITY OF MEMPHIS,police,cba,59,"27,30,58","26,28,29,31,57,59","1,2,3,4",tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0043_sr_c24dec1e2e6f33eb55b8dc73.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_f7009c25c7a772204ab5,cal_444af6472fbcec8ba405d09d,sr_085e00e9c5537c6e4fe3c8f9,pr_24fde6bdb8a18daec7cd5fe8,NSCQ-NE-20260720-0031,NE,La Vista,CITY OF LAVISTA,non_safety,ordinance_or_policy,9,"1,2,3,4,5,6,7,9",8,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0469_sr_085e00e9c5537c6e4fe3c8f9.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_2176155d78875df142ce,cal_4453630dbcea0b4cd5ed3aed,sr_f9aa5e9819cf2c79c486059b,pr_8cb9648992ae6c6565f7ce6a,NSCQ-SC-20260720-0001,SC,North Charleston,CITY OF NORTH CHARLESTON,non_safety,wage_schedule_or_compensation_plan,6,"1,2,3,4,5,6",,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0491_sr_f9aa5e9819cf2c79c486059b.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
adj_580ff03dec496d0fac1e,cal_473055028533d315d7876b00,sr_1c0fd9f2cdb1d3b8e392f969,pr_f32c1c37e0f3d6e0802fcb0c,NSCQ-ME-20260720-0007,ME,Bangor,CITY OF BANGOR,fire,cba,72,"2,9,17,71","1,3,8,10,16,18,70,72","4,5,6,7",tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0161_sr_1c0fd9f2cdb1d3b8e392f969.pdf,,,not_reviewed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,
