run_id,state,municipality_count,parseable_count,failed_count,candidate_row_count,input_tokens_total,reasoning_tokens_total,output_tokens_total,total_tokens_total,estimated_input_cost,estimated_output_cost,estimated_total_cost,estimate_only
all_2026-07-22_195226,AL,3,3,0,5,83717,3137,5363,89080,0.0167434,0.00670375,0.02344715,true
all_2026-07-22_195226,AR,2,2,0,6,66308,3231,5656,71964,0.0132616,0.00707,0.0203316,true
all_2026-07-22_195226,AZ,5,5,0,9,156290,6814,10435,166725,0.031258,0.01304375,0.04430175,true
all_2026-07-22_195226,CO,6,6,0,10,172259,6874,11210,183469,0.0344518,0.0140125,0.0484643,true
all_2026-07-22_195226,CT,4,4,0,14,105950,4476,10067,116017,0.02119,0.01258375,0.03377375,true
all_2026-07-22_195226,FL,16,16,0,39,447440,17863,33530,480970,0.089488,0.0419125,0.1314005,true
all_2026-07-22_195226,GA,3,3,0,5,72099,3689,5943,78042,0.0144198,0.00742875,0.02184855,true
all_2026-07-22_195226,IA,2,2,0,6,77468,2760,5063,82531,0.0154936,0.00632875,0.02182235,true
all_2026-07-22_195226,ID,3,3,0,5,72994,2683,4828,77822,0.0145988,0.006035,0.0206338,true
all_2026-07-22_195226,IN,4,4,0,8,155919,7509,10923,166842,0.0311838,0.01365375,0.04483755,true
all_2026-07-22_195226,KS,3,3,0,11,107300,5385,9653,116953,0.02146,0.01206625,0.03352625,true
all_2026-07-22_195226,LA,2,2,0,2,71886,2325,3128,75014,0.0143772,0.00391,0.0182872,true
all_2026-07-22_195226,MA,9,8,1,22,216256,10625,19530,235786,0.0432512,0.0244125,0.0676637,true
all_2026-07-22_195226,MD,1,1,0,2,37986,1637,2444,40430,0.0075972,0.003055,0.0106522,true
all_2026-07-22_195226,MI,7,7,0,19,218552,9589,16847,235399,0.0437104,0.02105875,0.06476915,true
all_2026-07-22_195226,MN,4,4,0,6,108265,4522,7012,115277,0.021653,0.008765,0.030418,true
all_2026-07-22_195226,MO,4,3,1,5,93252,4385,6540,99792,0.0186504,0.008175,0.0268254,true
all_2026-07-22_195226,MS,1,1,0,2,22265,1025,1850,24115,0.004453,0.0023125,0.0067655,true
all_2026-07-22_195226,MT,1,1,0,3,18832,953,2103,20935,0.0037664,0.00262875,0.00639515,true
all_2026-07-22_195226,NC,12,12,0,14,269592,10253,16419,286011,0.0539184,0.02052375,0.07444215,true
all_2026-07-22_195226,ND,1,1,0,1,26625,965,1317,27942,0.005325,0.00164625,0.00697125,true
all_2026-07-22_195226,NH,2,2,0,6,80115,3222,5738,85853,0.016023,0.0071725,0.0231955,true
all_2026-07-22_195226,NM,2,2,0,7,60545,2638,5484,66029,0.012109,0.006855,0.018964,true
all_2026-07-22_195226,NV,1,1,0,3,38184,1608,2895,41079,0.0076368,0.00361875,0.01125555,true
all_2026-07-22_195226,OH,6,6,0,18,212474,9101,16149,228623,0.0424948,0.02018625,0.06268105,true
all_2026-07-22_195226,OK,3,3,0,7,116443,4624,7348,123791,0.0232886,0.009185,0.0324736,true
all_2026-07-22_195226,OR,6,6,0,21,191990,7974,16649,208639,0.038398,0.02081125,0.05920925,true
all_2026-07-22_195226,PA,3,3,0,1,64608,2597,3152,67760,0.0129216,0.00394,0.0168616,true
all_2026-07-22_195226,SC,3,3,0,2,60209,1943,2847,63056,0.0120418,0.00355875,0.01560055,true
all_2026-07-22_195226,TN,4,4,0,6,133667,5952,8624,142291,0.0267334,0.01078,0.0375134,true
all_2026-07-22_195226,UT,11,11,0,15,278096,10560,17056,295152,0.0556192,0.02132,0.0769392,true
all_2026-07-22_195226,VA,3,3,0,6,88675,3511,5777,94452,0.017735,0.00722125,0.02495625,true
all_2026-07-22_195226,WA,10,10,0,35,319582,13849,27365,346947,0.0639164,0.03420625,0.09812265,true
all_2026-07-22_195226,WI,2,2,0,6,65297,3315,5751,71048,0.0130594,0.00718875,0.02024815,true
all_2026-07-22_195226,WV,1,1,0,0,24513,750,783,25296,0.0049026,0.00097875,0.00588135,true
