verification_id,candidate_queue_row_id,candidate_queue_stable_key,municipality_id,census_gov_id,state,municipality,government_name,candidate_url,candidate_title,candidate_source_type,candidate_priority,candidate_status_before_verification,triage_bucket,duplicate_source_group_id,duplicate_group_size,duplicate_group_role,near_duplicate_candidate_key,population,state_candidate_rows_per_covered,unit_type_scouted,source_owner_type,scout_confidence,triage_score,source_wave,verification_stage
VER-e0291116b404789ff785,NSCQ-DC-20260720-0002,NSCQ-DC-20260720-0002,cog_2025_124214,124214,DC,Washington,CITY OF WASHINGTON DC,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/Comp%20Unit%203%20-%20MPD-FOP%20Final%20CBA%202024-2026%20Clean.pdf,"Collective Bargaining Agreement (Compensation Unit 3) - District of Columbia Police Union / FOP/MPD Labor Committee (Effective October 1, 2023 through September 30, 2026)",cba,high,scheduled,high_priority_later_verify,URL-665e66c8f0678b5e21cf,1,primary,KEY-4b6d4506c0892215ce6a,678972,5.0,police,city,high,79,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-ced3ed101fa9dcecba12,NSCQ-DC-20260720-0005,NSCQ-DC-20260720-0005,cog_2025_124214,124214,DC,Washington,CITY OF WASHINGTON DC,https://olrcb.dc.gov/sites/default/files/dc/sites/olrcb/publication/attachments/1199SEIU-Compensation-FY2017-2019.pdf,1199 SEIU - Compensation - FY 2017-2019,wage_schedule_or_compensation_plan,high,scheduled,high_priority_later_verify,URL-f8024687bbb49a646e03,1,primary,KEY-ed5b024bef2c7ca18c6a,678972,5.0,non_safety,city,low,80,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-4a6ef97894c5aaacc07c,NSCQ-RI-20260720-0006,NSCQ-RI-20260720-0006,cog_2025_112807,112807,RI,Warwick,CITY OF WARWICK,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2025-08/Warwick-General-Employees-Local-1651-Exp-6-30-2027.pdf,"Agreement Between the City of Warwick, Rhode Island and R.I. Council 94, AFSCME, AFL-CIO Local 1651 (General Employees; Clerical/Admin/Public Works/Civilian unit excluding uniformed police & firefighters)",cba,high,scheduled,high_priority_later_verify,URL-18dbe49258d1542da457,1,primary,KEY-5cb5511cd01e7f25e3ea,82999,3.375,non_safety,state_labor_board,high,100,POST-PI-PARALLEL-ROUND1-LANE2-2026-07-23,candidate_lead_planned_not_verified
VER-aeaf503ab4d906cd0753,NSCQ-RI-20260720-0010,NSCQ-RI-20260720-0010,cog_2025_174833,174833,RI,Pawtucket,CITY OF PAWTUCKET,https://municipalfinance.ri.gov/documents/contracts/Pawtucket-Police-Exp-6-30-2020.pdf,"Collective Bargaining Agreement (Pawtucket Lodge No. 4, Fraternal Order of Police) — effective 1st day of July, 2016; read and ordered 6/21/2017",cba,high,scheduled,high_priority_later_verify,URL-bfbeda194a767680970c,1,primary,KEY-36ca68e1509d2f1f2943,75321,3.375,police,third_party,medium,80,POST-PI-PARALLEL-ROUND1-LANE2-2026-07-23,candidate_lead_planned_not_verified
VER-e8d1cc62b94edd65257f,NSCQ-RI-20260720-0014,NSCQ-RI-20260720-0014,cog_2025_194033,194033,RI,East Providence,CITY OF EAST PROVIDENCE,https://eastprovidenceri.gov/sites/default/files/field/files-docs/1._contract_-_police_2022-2025_0.pdf,"CITY OF EAST PROVIDENCE, RHODE ISLAND — Police Collective Bargaining Agreement (Contract 2022-2025)",cba,high,scheduled,high_priority_later_verify,URL-812f58ae5dc9412a8939,1,primary,KEY-01b0fada9e4b4a47716f,46900,3.375,police,city,high,100,POST-PI-PARALLEL-ROUND2-3X150-LANE2-2026-07-23,candidate_lead_planned_not_verified
VER-6449fcab67dc9c35ba3d,NSCQ-RI-20260720-0020,NSCQ-RI-20260720-0020,cog_2025_174832,174832,RI,Newport,CITY OF NEWPORT,https://municipalfinance.ri.gov/sites/g/files/xkgbur546/files/2024-09/Newport-Police-Lodge-8-CBA-Exp-06-30-24.pdf,"Collective Bargaining Agreement (FOP FY 2021-2024) — City of Newport, Rhode Island; Lodge No. 8, Newport Fraternal Order of Police",cba,high,scheduled,high_priority_later_verify,URL-0e68c2aa5380e5e6f6a9,1,primary,KEY-48181571d2768cc8862c,24717,3.375,police,state_labor_board,medium,100,POST-PI-AGGRESSIVE-3X300-ATTEMPT3-LANE1-2026-07-23,candidate_lead_planned_not_verified
VER-5e7102aa1ddb4c5e349f,NSCQ-NV-20260720-0002,NSCQ-NV-20260720-0002,cog_2025_169987,169987,NV,Henderson,CITY OF HENDERSON,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/Henderson%20Police%20Officers%20Association%20Labor%20Agreement%202009-2010%20and%20extensions%20through%2006%2030%202016.pdf,HENDERSON POLICE OFFICERS’ ASSOCIATION LABOR AGREEMENT 2009-2010 AND EXTENSIONS THROUGH 06 30 2016,cba,high,scheduled,high_priority_later_verify,URL-0638c750e4d12039488a,1,primary,KEY-84412a770334eb41534e,337305,3.090909,police,state_labor_board,medium,100,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-cfa03116953f898855e4,NSCQ-NV-20260720-0005,NSCQ-NV-20260720-0005,cog_2025_208734,208734,NV,North Las Vegas,CITY OF NORTH LAS VEGAS,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/City%20of%20North%20Las%20Vegas%20and%20the%20NLV%20Police%20Officers%20Association.pdf,"Agreement Between the City of North Las Vegas, Nevada and the North Las Vegas Police Officers Association (2021-2024)",cba,high,scheduled,high_priority_later_verify,URL-42ecfbaa80cfb0ded77d,1,primary,KEY-8160e0566567d9a3e68c,284771,3.090909,police,state_labor_board,high,100,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-01ace0f33561d28d174e,NSCQ-NV-20260720-0010,NSCQ-NV-20260720-0010,cog_2025_169993,169993,NV,Reno,CITY OF RENO,https://www.reno.gov/home/showpublisheddocument/93389/639014108943030000,Agreement Between the City of Reno and the Reno Police Supervisory and Administrative Employees Association Covering Supervisory Employees (RPSAE - Sergeants) (Contract term shown on document),cba,high,scheduled,high_priority_later_verify,URL-770048855c9035c2b101,1,primary,KEY-836f963dba36a7830237,274915,3.090909,police,city,medium,100,COORD-TIER1-WAVE1-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
VER-bc643469868b20bc229b,NSCQ-NV-20260720-0013,NSCQ-NV-20260720-0013,cog_2025_108910,108910,NV,Sparks,CITY OF SPARKS,https://emrb.nv.gov/uploadedFiles/emrbnvgov/content/Resources/police/SPPA%20Non-Supervisory%202023-2025.pdf,CONTRACT between the CITY OF SPARKS and the SPARKS POLICE PROTECTIVE ASSOCIATION (Covering Non-Supervisory Employees) (SPPA FY24 - FY25),cba,high,scheduled,high_priority_later_verify,URL-a36cb6fb0a655b7a2ebe,1,primary,KEY-6f08c357e031eb7207c8,110323,3.090909,police,state_labor_board,high,100,COORD-TIER1-WAVE2-SERIAL150-2026-07-22,candidate_lead_planned_not_verified
