source_id,title,organization_or_author,year,url_or_citation,source_type,occupation_scope,mechanism_relevance,geographic_scope,credibility_notes,use_in_project
src_bls_police_ooh_2026,"Police and Detectives","U.S. Bureau of Labor Statistics",2026,"https://www.bls.gov/ooh/protective-service/police-and-detectives.htm (accessed 2026-07-03; page-year reflects access year, while wage/openings figures on the page refer to 2024-2034 projections and 2024 median pay)",official_federal_reference,police,"baseline pay, work schedules, injury risk, training requirements, projected openings",national,"Authoritative federal reference; page mixes current access date with underlying 2024 labor-market data; suitable as baseline background, not as unit-level evidence",Core police background and wage benchmark
src_bls_fire_ooh_2026,"Firefighters","U.S. Bureau of Labor Statistics",2026,"https://www.bls.gov/ooh/protective-service/firefighters.htm (accessed 2026-07-03; page-year reflects access year, while wage/employment figures on the page refer to 2024 data)",official_federal_reference,fire,"baseline pay, volunteer/career distinction, injury risk, EMS/training burden, overtime",national,"Authoritative federal reference; page mixes current access date with underlying 2024 labor-market data; suitable as baseline background, not as unit-level evidence",Core fire background and wage benchmark
src_bls_oews_overview_2026,"Occupational Employment and Wage Statistics","U.S. Bureau of Labor Statistics",2026,"https://www.bls.gov/oes/ (accessed 2026-07-03; overview page rather than a single data year)",official_federal_reference,police_fire_non_safety,"national/state/metro occupational wage trend source",national,"Authoritative federal program overview; year ambiguity comes from overview-page format, so use with explicit table-year references in downstream work",Trend-data plan and source limits
src_bls_oews_state_table_2025,"May 2025 State Occupational Employment and Wage Estimates","U.S. Bureau of Labor Statistics",2025,"https://www.bls.gov/oes/current/oessrcst.htm (accessed 2026-07-03)",official_federal_data,police_fire_non_safety,"state-level wage tables for descriptive trends",state,"Authoritative federal data table; stronger than the overview page for actual trend pulls",Trend-data plan implementation cue
src_census_aspep_2026,"Annual Survey of Public Employment & Payroll (ASPEP)","U.S. Census Bureau",2026,"https://www.census.gov/programs-surveys/apes.html (accessed 2026-07-03; program page rather than a single release year)",official_federal_reference,police_fire_non_safety,"government-function employment and payroll context",national_state_local,"Authoritative federal program page; use with explicit release-year tables in downstream work because the landing page itself is not year-specific",Trend-data plan and functional payroll context
src_census_aspep_summary_2025,"Annual Survey of Public Employment & Payroll Summary Report: 2025","U.S. Census Bureau",2026,"https://www.census.gov/programs-surveys/apes.html (accessed 2026-07-03; bibliography entry points to the program page, so the cited 2025 summary should be re-linked to the exact release before formal citation)",official_federal_summary,police_fire_non_safety,"recent state/local employment and payroll context",national,"Underlying source family is authoritative, but this row is citation-ambiguous until linked to the exact 2025 summary artifact",Recent context for state/local payroll environment; flagged for exact-link cleanup before external circulation
src_perf_ap_2024,"Police officer hiring in US increases in 2023 after years of decline, survey shows","Associated Press summarizing PERF survey",2024,"https://apnews.com/article/7e39156a80de2d75e22bd554adc8f887 (accessed 2026-07-03)",news_secondary_with_primary_survey_basis,police,"recruitment, resignations, retirements, post-2020 staffing stress",national,"Illustrative secondary summary rather than a primary PERF release; useful for directional context, but any formal citation should prefer the direct PERF survey/report if available",Mechanism background on police staffing market; flagged as illustrative rather than authoritative
src_cdc_niosh_firefighters_2024,"Firefighters","National Institute for Occupational Safety and Health",2024,"https://www.cdc.gov/niosh/firefighters/ (accessed 2026-07-03)",official_federal_reference,fire,"occupational risk, firefighter safety and health framing",national,"Authoritative federal occupational safety source; best for hazard/risk framing, not wage determination",Fire hazard/risk mechanism background
src_cdc_nfr_2024,"National Firefighter Registry for Cancer","Centers for Disease Control and Prevention / NIOSH",2024,"https://www.cdc.gov/nfr/ (accessed 2026-07-03)",official_federal_reference,fire,"occupational exposure and long-run health risk relevance",national,"Authoritative federal registry page; strong for exposure-risk context, indirect for wage mechanisms",Fire risk/liability mechanism background
src_nfpa_home_2026,"NFPA","National Fire Protection Association",2026,"https://www.nfpa.org/ (accessed 2026-07-03)",trade_association_reference,fire,"defines NFPA and standards/research ecosystem",national,"Useful definitional and institutional source; not neutral government evidence and should not by itself support broad empirical claims",Define NFPA for non-specialists; flagged as institutional context rather than empirical authority
src_fprf_page_2026,"Fire Protection Research Foundation","National Fire Protection Association",2026,"https://www.nfpa.org/education-and-research/research/fire-protection-research-foundation (accessed 2026-07-03)",field_research_foundation_reference,fire,"defines FPRF and research function",national,"Useful definitional source for the fire research ecosystem; not a stand-alone empirical authority on wage mechanisms",Define FPRF for non-specialists; flagged as institutional context rather than empirical authority
src_nvfc_home_2026,"Home","National Volunteer Fire Council",2026,"https://www.nvfc.org/ (accessed 2026-07-03)",field_association_reference,fire,"defines NVFC and volunteer recruitment/training support ecosystem",national,"Useful for identifying volunteer-fire institutional context and source leads; advocacy/service organization rather than neutral empirical authority",Define NVFC and volunteer-fire relevance; flagged as contextual rather than authoritative on causal claims
src_mass_jlmc_org,"Joint Labor Management Committee","Commonwealth of Massachusetts",2026,"https://www.mass.gov/orgs/joint-labor-management-committee (accessed 2026-07-03)",state_institution_reference,police_fire,"Massachusetts police/fire impasse institution",massachusetts,"Authoritative state institutional page; suitable for describing JLMC's role, not for claiming outcome effects",Institutional case for arbitration/backstop section
src_bls_police_state_area,"State & Area Data for Police and Detectives","U.S. Bureau of Labor Statistics",2026,"https://www.bls.gov/ooh/protective-service/police-and-detectives.htm (accessed 2026-07-03; state/area data link is embedded in the OOH page rather than separately cited here)",official_federal_reference,police,"shows OEWS linkage for state/area wage data",national_state_metro,"Authoritative pointer but citation is indirect; for formal tables, replace with exact OEWS output URL or downloaded table citation",Trend-data plan support; flagged for exact-table citation before external circulation
src_bls_fire_state_area,"State & Area Data for Firefighters","U.S. Bureau of Labor Statistics",2026,"https://www.bls.gov/ooh/protective-service/firefighters.htm (accessed 2026-07-03; state/area data link is embedded in the OOH page rather than separately cited here)",official_federal_reference,fire,"shows OEWS linkage for state/area wage data",national_state_metro,"Authoritative pointer but citation is indirect; for formal tables, replace with exact OEWS output URL or downloaded table citation",Trend-data plan support; flagged for exact-table citation before external circulation
