contract_id,state,city,occupation_class,source_role,mechanism,evidence_status,excerpt,excerpt_location,source_file,notes
tx_houston_fire_2024,TX,Houston,fire,fire,peer_comparator_wage_comparability,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,"The only 'compar-' matches across all three documents concern comparing FY26 Special/Incentive Pay costs to 'Fiscal Year 2024 actual amounts paid for these categories' (a same-city, same-department budget baseline), not peer-city wage comparability. No comparator-city language found."
tx_houston_fire_2024,TX,Houston,fire,fire,arbitration_impasse_backstop,present,"(b) With respect to the application, interpretation and enforcement of the provisions of this Agreement the decision of the arbitrator shall be final and binding on the parties to this Agreement. (c) The arbitrator's authority shall be limited to the interpretation and application of the terms of this Agreement...and shall have no...authority to establish provisions of a new agreement or variations of the present Agreement...","Arbitration Award, 'KEY CBA PROVISIONS' section quoting CBA Article 14 (Contract Grievance Procedure), Section 2",corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,"This is grievance/contract-interpretation arbitration under Article 14, explicitly barred from setting new agreement terms -- NOT the Sec.174.1535 compulsory interest-arbitration mechanism. Do not set interest_arbitration_flag on this basis; captured verbatim in arbitration_clause_text per schema.md's grievance-arbitration clarification. A second, statutory-context excerpt also appears: 'a reasonable alternative to strikes is a system of arbitration conducted under adequate legislative standards. Tex. Loc. Gov't Code S 174.002(c).' (Award para. 25, quoting the statute's declared purpose, not a CBA clause itself)."
tx_houston_fire_2024,TX,Houston,fire,fire,staffing_recruitment_retention,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,"No 'recruit' or 'retention' language matched in the Award, Settlement, or MOU."
tx_houston_fire_2024,TX,Houston,fire,fire,overtime_callback_minimum_staffing,present,"FFs not regularly scheduled but pre-scheduled for overtime, called in on overtime or held over on overtime on a City Recognized Holiday shall receive time and one half for each hour of work performed...FFs not regularly scheduled, but pre-scheduled for overtime, called in on overtime or held over on overtime on any of the 4 premium holidays...shall receive double time for each hour of work performed.","MOU Section 6 (Vacation/Holiday), clarifying CBA Article 22 Section 5",corpus/tx_houston/tx_houston_hpffa_fire_mou_2024.pdf,Overtime call-in/held-over premium rates are present; no explicit 'minimum staffing level' language was found in these three documents.
tx_houston_fire_2024,TX,Houston,fire,fire,classification_reclassification_wage_schedule,present,Section 2. Base Salary. The annual base salary for all ranks shall receive an increase as follows: Fiscal Year 25 (7/1/24 to 6/30/25) 10% / Fiscal Year 26 (7/1/25 to 6/30/26) 3% (with 3% escalator*) / Fiscal Year 27 (7/1/26 to 6/30/27) 3% (with 3% escalator*) / Fiscal Year 28 (7/1/27 to 6/30/28) 4% (with 2% escalator*) / Fiscal Year 29 (7/1/29 to 6/30/30) 4% (with 2% escalator*),"Arbitration Award, 'KEY CBA PROVISIONS' section quoting CBA Article 17 (Compensation), Section 2",corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,Also: Article 2 Definitions quoted verbatim define 'Member'/'Bargaining Unit' by Val Jahnke Training Academy graduation and Chapter 143 civil-service hiring compliance; Article 6 states the CBA 'take[s] precedence over conflicting civil service law provisions' (Chapters 141-143).
tx_houston_fire_2024,TX,Houston,fire,fire,training_certification_education,present,"The Parties agree that Article 17, Section 9, entitled EMT Suppression/EMT Administration Assignment Pay, will only be paid to Fire Fighters ('FFs') holding a current valid State of Texas EMT certification and serving on an EMS unit (basic unit, medic unit and squads), consistent with current practice.","MOU Section 4 (EMT Suppression/EMT Administration Assignment Pay), clarifying CBA Article 17 Section 9",corpus/tx_houston/tx_houston_hpffa_fire_mou_2024.pdf,Also: the Award's Article 2 quote defines Bargaining Unit membership partly by graduation from the 'Val Jahnke Training Academy.'
tx_houston_fire_2024,TX,Houston,fire,fire,premium_pay_differentials,present,"i. $300.00 for FY25's uniform allowance...ii. $300.00 for FY26's uniform allowance...iii. $800.00...for each eligible member in the subsequent fiscal years prior to the expiration of the current CBA on June 30, 2029","Settlement Agreement and Release, Section 3.3 (Uniform Allowance), referencing CBA Article 27 Sec.2a",corpus/tx_houston/tx_houston_hpffa_fire_settlement_agreement_2026.pdf,"Also present: MOU's holiday time-and-a-half/double-time premium rates (Section 6) and EMT assignment differential pay (Section 4, see training_certification_education row)."
tx_houston_fire_2024,TX,Houston,fire,fire,subcontracting_outsourcing,not_found,,,corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,No 'subcontract' or 'contracting out' language matched in any of the three documents.
tx_houston_fire_2024,TX,Houston,fire,fire,total_compensation_benefits,present,"The Parties agree that the City will designate $1,500,000.00 for Holiday Buy Back, inclusive of a reallocation of funds for station laundry services in section 3.1, each fiscal year starting in the current fiscal year, FY26, until June 30, 2029.","Settlement Agreement and Release, Section 3.2 (Holiday Buy Back) and Section 3.1 (Laundry Service)",corpus/tx_houston/tx_houston_hpffa_fire_settlement_agreement_2026.pdf,"Also present: MOU's Special and Incentive Pay aggregate cap ('no greater than $10,000,000.00 per Fiscal Year...exclusive of FICA and pension contributions'), and Settlement Section 3.4 allowing sick-reserve balances to be used for Deferred Cash Out (DCO) and Rollover Election (RE) options."
tx_houston_fire_2024,TX,Houston,fire,fire,safety_risk_public_safety,present,*Escalator percentages are contingent on joint efforts by the City and the Association to seek and ensure additional new revenues to the City for public safety.,"Arbitration Award, 'KEY CBA PROVISIONS' section quoting CBA Article 17 Section 2 footnote",corpus/tx_houston/tx_houston_hpffa_fire_arbitration_award_2026.pdf,"The Award's own reasoning (paras. 84-86) further finds that new ambulance-service revenue 'funds personnel and equipment to transport ailing members of the public safely...i.e., pays for public safety' -- an arbitrator finding, not a verbatim CBA clause, so quoted separately from the escalator footnote itself."
