hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00000-+00027,lower_48,base_wage_change,remains_unclear,2,0.0,2338268.59,44.232947,-95.871071
CONUS50-+00000-+00029,lower_48,base_wage_change,remains_unclear,1,0.0,2511473.671,45.315182,-95.60537
CONUS50-+00001-+00008,lower_48,base_wage_change,remains_unclear,1,75000.0,736121.593,29.571455,-95.045248
CONUS50-+00002-+00024,lower_48,base_wage_change,police,1,150000.0,2165063.509,42.277932,-94.289735
CONUS50-+00002-+00025,lower_48,base_wage_change,remains_unclear,1,150000.0,2251666.05,42.93416,-93.793179
CONUS50-+00002-+00026,lower_48,base_wage_change,police,1,150000.0,2338268.59,44.048164,-94.419927
CONUS50-+00002-+00028,lower_48,base_wage_change,remains_unclear,1,150000.0,2511473.671,45.663559,-93.909506
CONUS50-+00003-+00011,lower_48,base_wage_change,police,1,225000.0,1082531.755,32.745752,-93.975098
CONUS50-+00003-+00011,lower_48,base_wage_change,remains_unclear,1,225000.0,1082531.755,32.542462,-93.293939
CONUS50-+00003-+00020,lower_48,base_wage_change,remains_unclear,1,225000.0,1861954.618,39.717518,-92.947351
CONUS50-+00003-+00026,lower_48,base_wage_change,remains_unclear,1,225000.0,2381569.86,44.175801,-93.222513
CONUS50-+00003-+00027,lower_48,base_wage_change,police,2,225000.0,2468172.401,45.033432,-92.810186
CONUS50-+00003-+00030,lower_48,base_wage_change,police,3,225000.0,2727980.022,47.258731,-93.453936
CONUS50-+00004-+00027,lower_48,base_wage_change,remains_unclear,1,300000.0,2511473.671,45.854873,-92.103809
CONUS50-+00005-+00008,lower_48,base_wage_change,police,1,375000.0,909326.674,30.98112,-91.814293
CONUS50-+00005-+00020,lower_48,base_wage_change,remains_unclear,1,375000.0,1948557.159,40.42362,-91.718706
CONUS50-+00005-+00026,lower_48,base_wage_change,police,1,375000.0,2468172.401,44.804095,-90.872855
CONUS50-+00006-+00021,lower_48,base_wage_change,remains_unclear,1,450000.0,2078460.969,41.452474,-90.369404
CONUS50-+00006-+00025,lower_48,base_wage_change,remains_unclear,1,450000.0,2424871.131,44.642389,-90.022718
