hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00000-+00008,lower_48,budget_appropriation,side_independent,1,0.0,692820.323,29.481768,-95.636851
CONUS50-+00001-+00007,lower_48,budget_appropriation,police,1,75000.0,649519.053,29.28262,-95.007631
CONUS50-+00001-+00012,lower_48,budget_appropriation,side_independent,1,75000.0,1082531.755,33.177431,-95.224447
CONUS50-+00001-+00024,lower_48,budget_appropriation,side_independent,1,75000.0,2121762.239,41.918097,-94.940666
CONUS50-+00001-+00025,lower_48,budget_appropriation,side_independent,1,75000.0,2208364.78,42.949759,-95.012919
CONUS50-+00001-+00029,lower_48,budget_appropriation,non_safety,1,75000.0,2554774.941,45.736472,-94.952729
CONUS50-+00001-+00031,lower_48,budget_appropriation,remains_unclear,1,75000.0,2727980.022,47.73191,-94.559553
CONUS50-+00002-+00024,lower_48,budget_appropriation,police,1,150000.0,2165063.509,42.277932,-94.289735
CONUS50-+00002-+00027,lower_48,budget_appropriation,side_independent,1,150000.0,2424871.131,44.933815,-94.074818
CONUS50-+00003-+00020,lower_48,budget_appropriation,police,1,225000.0,1861954.618,39.717518,-92.947351
CONUS50-+00003-+00020,lower_48,budget_appropriation,remains_unclear,1,225000.0,1861954.618,39.717518,-92.947351
CONUS50-+00003-+00022,lower_48,budget_appropriation,remains_unclear,1,225000.0,2035159.699,41.679794,-93.23628
CONUS50-+00003-+00025,lower_48,budget_appropriation,police,1,225000.0,2294967.32,43.884341,-93.459867
CONUS50-+00003-+00025,lower_48,budget_appropriation,remains_unclear,1,225000.0,2294967.32,43.379893,-92.917791
CONUS50-+00004-+00017,lower_48,budget_appropriation,police,1,300000.0,1645448.267,38.162751,-92.781963
CONUS50-+00004-+00021,lower_48,budget_appropriation,non_safety,1,300000.0,1991858.429,40.891662,-92.819972
CONUS50-+00004-+00023,lower_48,budget_appropriation,remains_unclear,1,300000.0,2165063.509,42.568498,-92.16002
CONUS50-+00004-+00026,lower_48,budget_appropriation,police,1,300000.0,2424871.131,44.86085,-92.625708
CONUS50-+00004-+00027,lower_48,budget_appropriation,remains_unclear,1,300000.0,2511473.671,45.330974,-92.104323
CONUS50-+00005-+00022,lower_48,budget_appropriation,remains_unclear,1,375000.0,2121762.239,41.885751,-91.057925
CONUS50-+00006-+00022,lower_48,budget_appropriation,side_independent,1,450000.0,2165063.509,42.153194,-90.592277
CONUS50-+00007-+00019,lower_48,budget_appropriation,police,1,525000.0,1948557.159,40.665706,-90.049849
CONUS50-+00007-+00020,lower_48,budget_appropriation,police,1,525000.0,2035159.699,41.380565,-89.4641
CONUS50-+00009-+00012,lower_48,budget_appropriation,side_independent,1,675000.0,1428941.916,36.034881,-88.24657
CONUS50-+00009-+00020,lower_48,budget_appropriation,fire,1,675000.0,2121762.239,41.882105,-88.329463
CONUS50-+00009-+00022,lower_48,budget_appropriation,police,1,675000.0,2294967.32,43.126142,-87.927195
CONUS50-+00011-+00021,lower_48,budget_appropriation,fire,1,825000.0,2294967.32,42.997869,-86.188917
CONUS50-+00012-+00014,lower_48,budget_appropriation,remains_unclear,1,900000.0,1732050.808,38.205045,-85.727002
CONUS50-+00012-+00019,lower_48,budget_appropriation,fire,1,900000.0,2165063.509,42.381229,-85.113361
CONUS50-+00014-+00020,lower_48,budget_appropriation,police,1,1050000.0,2338268.59,43.023396,-82.802404
CONUS50-+00015-+00007,lower_48,budget_appropriation,remains_unclear,1,1125000.0,1255736.835,33.646139,-83.712782
CONUS50-+00016-+00006,lower_48,budget_appropriation,police,1,1200000.0,1212435.565,32.981794,-82.80513
CONUS50-+00016-+00007,lower_48,budget_appropriation,remains_unclear,1,1200000.0,1299038.106,34.125601,-83.21615
CONUS50-+00016-+00009,lower_48,budget_appropriation,remains_unclear,1,1200000.0,1472243.186,35.699321,-82.555719
CONUS50-+00016-+00017,lower_48,budget_appropriation,remains_unclear,1,1200000.0,2165063.509,41.535863,-81.340912
CONUS50-+00017-+00008,lower_48,budget_appropriation,side_independent,1,1275000.0,1428941.916,35.382369,-81.944847
CONUS50-+00018-+00015,lower_48,budget_appropriation,side_independent,1,1350000.0,2078460.969,40.514782,-79.601134
CONUS50-+00019-+00017,lower_48,budget_appropriation,non_safety,1,1425000.0,2294967.32,42.648107,-78.646394
CONUS50-+00019-+00017,lower_48,budget_appropriation,side_independent,1,1425000.0,2294967.32,42.648107,-78.646394
CONUS50-+00020-+00008,lower_48,budget_appropriation,remains_unclear,1,1500000.0,1558845.727,35.727067,-79.463662
CONUS50-+00020-+00008,lower_48,budget_appropriation,side_independent,1,1500000.0,1558845.727,35.727067,-79.463662
CONUS50-+00020-+00017,lower_48,budget_appropriation,remains_unclear,1,1500000.0,2338268.59,42.562482,-77.696927
CONUS50-+00021-+00006,lower_48,budget_appropriation,remains_unclear,1,1575000.0,1428941.916,34.650229,-78.491108
CONUS50-+00021-+00018,lower_48,budget_appropriation,non_safety,1,1575000.0,2468172.401,43.973292,-75.910039
CONUS50-+00021--00004,lower_48,budget_appropriation,remains_unclear,1,1575000.0,562916.512,27.197011,-80.198858
CONUS50-+00023-+00007,lower_48,budget_appropriation,side_independent,1,1725000.0,1602146.997,36.201573,-76.7664
CONUS50-+00024-+00019,lower_48,budget_appropriation,remains_unclear,1,1800000.0,2684678.752,44.883477,-72.484927
CONUS50-+00026-+00015,lower_48,budget_appropriation,remains_unclear,2,1950000.0,2424871.131,42.605437,-72.292074
CONUS50-+00028-+00017,lower_48,budget_appropriation,fire,1,2100000.0,2684678.752,44.704755,-69.012929
CONUS50--00002-+00013,lower_48,budget_appropriation,side_independent,1,-150000.0,1039230.485,32.246824,-97.748052
