hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00000-+00029,lower_48,cola_cpi_adjustment,police,2,0.0,2511473.671,45.611628,-95.532189
CONUS50-+00001-+00017,lower_48,cola_cpi_adjustment,remains_unclear,1,75000.0,1515544.457,37.058485,-95.359175
CONUS50-+00001-+00029,lower_48,cola_cpi_adjustment,side_independent,1,75000.0,2554774.941,45.81956,-94.71019
CONUS50-+00002-+00026,lower_48,cola_cpi_adjustment,remains_unclear,1,150000.0,2338268.59,44.32148,-93.81883
CONUS50-+00003-+00022,lower_48,cola_cpi_adjustment,remains_unclear,1,225000.0,2035159.699,41.387011,-93.272787
CONUS50-+00004-+00010,lower_48,cola_cpi_adjustment,remains_unclear,1,300000.0,1039230.485,32.532325,-92.783913
CONUS50-+00004-+00025,lower_48,cola_cpi_adjustment,police,2,300000.0,2338268.59,43.844464,-92.182851
CONUS50-+00004-+00025,lower_48,cola_cpi_adjustment,remains_unclear,1,300000.0,2338268.59,44.065198,-92.747168
CONUS50-+00004-+00026,lower_48,cola_cpi_adjustment,police,1,300000.0,2424871.131,44.371107,-92.0457
CONUS50-+00004-+00026,lower_48,cola_cpi_adjustment,remains_unclear,1,300000.0,2424871.131,44.371107,-92.0457
CONUS50-+00006-+00007,lower_48,cola_cpi_adjustment,remains_unclear,1,450000.0,866025.404,30.415418,-91.4394
CONUS50-+00006-+00023,lower_48,cola_cpi_adjustment,fire,1,450000.0,2251666.05,42.871128,-90.146467
CONUS50-+00006-+00026,lower_48,cola_cpi_adjustment,remains_unclear,1,450000.0,2511473.671,45.478961,-89.711773
CONUS50-+00007-+00020,lower_48,cola_cpi_adjustment,fire,3,525000.0,2035159.699,41.239087,-89.92566
CONUS50-+00008-+00021,lower_48,cola_cpi_adjustment,police,1,600000.0,2165063.509,42.247128,-89.226813
CONUS50-+00008-+00021,lower_48,cola_cpi_adjustment,remains_unclear,1,600000.0,2165063.509,42.247128,-89.226813
CONUS50-+00008-+00022,lower_48,cola_cpi_adjustment,police,2,600000.0,2251666.05,42.972663,-88.787067
CONUS50-+00008-+00024,lower_48,cola_cpi_adjustment,remains_unclear,1,600000.0,2424871.131,44.372502,-88.311333
CONUS50-+00009-+00018,lower_48,cola_cpi_adjustment,police,1,675000.0,1948557.159,40.07912,-88.149947
CONUS50-+00009-+00020,lower_48,cola_cpi_adjustment,police,1,675000.0,2121762.239,41.504881,-88.124765
CONUS50-+00009-+00020,lower_48,cola_cpi_adjustment,remains_unclear,2,675000.0,2121762.239,41.539107,-87.685704
CONUS50-+00009-+00022,lower_48,cola_cpi_adjustment,police,2,675000.0,2294967.32,43.126142,-87.927195
CONUS50-+00011-+00020,lower_48,cola_cpi_adjustment,remains_unclear,1,825000.0,2208364.78,42.31389,-85.619
CONUS50-+00011-+00022,lower_48,cola_cpi_adjustment,police,1,825000.0,2381569.86,44.02575,-85.618955
CONUS50-+00011-+00023,lower_48,cola_cpi_adjustment,non_safety,1,825000.0,2468172.401,44.466912,-85.276472
CONUS50-+00011-+00023,lower_48,cola_cpi_adjustment,side_independent,1,825000.0,2468172.401,44.89645,-85.266736
CONUS50-+00011-+00025,lower_48,cola_cpi_adjustment,side_independent,1,825000.0,2641377.482,46.304625,-84.67274
CONUS50-+00012-+00019,lower_48,cola_cpi_adjustment,remains_unclear,1,900000.0,2165063.509,41.857656,-84.772023
CONUS50-+00012-+00021,lower_48,cola_cpi_adjustment,fire,2,900000.0,2338268.59,43.158267,-84.53911
CONUS50-+00013-+00006,lower_48,cola_cpi_adjustment,remains_unclear,1,975000.0,1082531.755,32.607946,-85.598479
CONUS50-+00013-+00015,lower_48,cola_cpi_adjustment,remains_unclear,2,975000.0,1861954.618,39.523235,-84.761349
CONUS50-+00013-+00020,lower_48,cola_cpi_adjustment,remains_unclear,1,975000.0,2294967.32,42.905545,-83.87985
CONUS50-+00014-+00007,lower_48,cola_cpi_adjustment,remains_unclear,1,1050000.0,1212435.565,33.581071,-84.745886
CONUS50-+00014-+00014,lower_48,cola_cpi_adjustment,remains_unclear,1,1050000.0,1818653.348,38.980999,-83.337154
CONUS50-+00014-+00017,lower_48,cola_cpi_adjustment,police,1,1050000.0,2078460.969,41.02912,-83.58485
CONUS50-+00014-+00019,lower_48,cola_cpi_adjustment,non_safety,1,1050000.0,2251666.05,42.577893,-83.274466
CONUS50-+00014-+00019,lower_48,cola_cpi_adjustment,remains_unclear,1,1050000.0,2251666.05,42.620867,-82.533915
CONUS50-+00015-+00007,lower_48,cola_cpi_adjustment,remains_unclear,1,1125000.0,1255736.835,33.646139,-83.712782
CONUS50-+00015-+00016,lower_48,cola_cpi_adjustment,police,1,1125000.0,2035159.699,40.427745,-82.230656
CONUS50-+00015-+00016,lower_48,cola_cpi_adjustment,remains_unclear,1,1125000.0,2035159.699,40.427745,-82.230656
CONUS50-+00016-+00014,lower_48,cola_cpi_adjustment,police,2,1200000.0,1905255.888,38.993414,-81.815318
CONUS50-+00018-+00015,lower_48,cola_cpi_adjustment,police,1,1350000.0,2078460.969,40.750962,-79.814959
CONUS50-+00018-+00016,lower_48,cola_cpi_adjustment,side_independent,1,1350000.0,2165063.509,41.529787,-80.21656
CONUS50-+00019-+00007,lower_48,cola_cpi_adjustment,remains_unclear,1,1425000.0,1428941.916,35.216362,-80.005007
CONUS50-+00020-+00008,lower_48,cola_cpi_adjustment,remains_unclear,1,1500000.0,1558845.727,35.727067,-79.463662
CONUS50-+00023-+00012,lower_48,cola_cpi_adjustment,remains_unclear,1,1725000.0,2035159.699,39.73496,-76.042654
CONUS50-+00023-+00014,lower_48,cola_cpi_adjustment,remains_unclear,1,1725000.0,2208364.78,40.929261,-75.061796
CONUS50-+00023-+00016,lower_48,cola_cpi_adjustment,side_independent,1,1725000.0,2381569.86,42.504012,-74.293643
CONUS50-+00023-+00018,lower_48,cola_cpi_adjustment,police,1,1725000.0,2554774.941,44.229821,-74.461853
CONUS50-+00024-+00019,lower_48,cola_cpi_adjustment,remains_unclear,1,1800000.0,2684678.752,44.883477,-72.484927
CONUS50-+00025-+00013,lower_48,cola_cpi_adjustment,police,1,1875000.0,2208364.78,41.023538,-73.719283
CONUS50-+00025-+00015,lower_48,cola_cpi_adjustment,police,1,1875000.0,2381569.86,42.624101,-72.508607
CONUS50-+00025-+00015,lower_48,cola_cpi_adjustment,remains_unclear,1,1875000.0,2381569.86,42.624101,-72.508607
CONUS50-+00026-+00017,lower_48,cola_cpi_adjustment,fire,1,1950000.0,2598076.211,44.18762,-71.155763
CONUS50-+00028-+00016,lower_48,cola_cpi_adjustment,police,1,2100000.0,2598076.211,43.741099,-69.826141
CONUS50--00002-+00007,lower_48,cola_cpi_adjustment,fire,1,-150000.0,519615.242,27.509201,-97.861028
CONUS50--00003-+00010,lower_48,cola_cpi_adjustment,police,1,-225000.0,736121.593,29.490225,-98.549138
CONUS50--00003-+00022,lower_48,cola_cpi_adjustment,remains_unclear,2,-225000.0,1775352.078,39.042955,-98.146737
CONUS50--00004-+00021,lower_48,cola_cpi_adjustment,side_independent,1,-300000.0,1645448.267,37.823047,-99.072749
CONUS50--00007-+00020,lower_48,cola_cpi_adjustment,police,1,-525000.0,1428941.916,35.659435,-101.40236
CONUS50--00014-+00030,lower_48,cola_cpi_adjustment,remains_unclear,1,-1050000.0,1991858.429,40.239861,-109.006795
CONUS50--00018-+00037,lower_48,cola_cpi_adjustment,non_safety,1,-1350000.0,2424871.131,43.73441,-113.36734
CONUS50--00018-+00037,lower_48,cola_cpi_adjustment,remains_unclear,1,-1350000.0,2424871.131,43.73441,-113.36734
CONUS50--00025-+00046,lower_48,cola_cpi_adjustment,police,1,-1875000.0,2901185.103,46.554429,-120.492073
CONUS50--00026-+00048,lower_48,cola_cpi_adjustment,police,2,-1950000.0,3031088.913,48.037537,-122.407122
CONUS50--00030-+00036,lower_48,cola_cpi_adjustment,non_safety,2,-2250000.0,1818653.348,36.62177,-121.847668
