hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00003-+00027,lower_48,holiday_pay,mixed,1,225000.0,2468172.401,45.033432,-92.810186
CONUS50-+00006-+00029,lower_48,holiday_pay,remains_unclear,1,450000.0,2771281.292,47.758556,-90.344319
CONUS50-+00008-+00023,lower_48,holiday_pay,side_independent,1,600000.0,2338268.59,43.631547,-88.737534
CONUS50-+00009-+00020,lower_48,holiday_pay,police,3,675000.0,2121762.239,41.894875,-87.819064
CONUS50-+00012-+00020,lower_48,holiday_pay,police,1,900000.0,2251666.05,42.815321,-84.539992
CONUS50-+00012-+00021,lower_48,holiday_pay,remains_unclear,2,900000.0,2338268.59,43.291094,-84.595673
CONUS50-+00012-+00025,lower_48,holiday_pay,non_safety,1,900000.0,2684678.752,46.276096,-84.176734
CONUS50-+00014-+00014,lower_48,holiday_pay,police,1,1050000.0,1818653.348,38.530874,-84.033867
CONUS50-+00015-+00014,lower_48,holiday_pay,fire,1,1125000.0,1861954.618,39.226404,-83.269727
CONUS50-+00015-+00015,lower_48,holiday_pay,police,1,1125000.0,1948557.159,39.599505,-82.78205
CONUS50-+00016-+00014,lower_48,holiday_pay,fire,1,1200000.0,1905255.888,39.405618,-81.535633
CONUS50-+00016-+00017,lower_48,holiday_pay,police,1,1200000.0,2165063.509,41.535863,-81.340912
CONUS50-+00017-+00016,lower_48,holiday_pay,fire,1,1275000.0,2121762.239,41.23646,-80.561784
CONUS50-+00021-+00017,lower_48,holiday_pay,police,1,1575000.0,2381569.86,43.066191,-76.313273
CONUS50-+00023-+00012,lower_48,holiday_pay,remains_unclear,2,1725000.0,2035159.699,39.87935,-75.120396
CONUS50-+00024-+00014,lower_48,holiday_pay,police,1,1800000.0,2251666.05,41.515512,-73.923762
CONUS50-+00024-+00015,lower_48,holiday_pay,side_independent,1,1800000.0,2338268.59,42.394382,-73.703768
CONUS50--00031-+00038,lower_48,holiday_pay,police,1,-2325000.0,1948557.159,37.676697,-122.452821
