hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00000-+00008,lower_48,no_direct_compensation_outcome,side_independent,1,0.0,692820.323,29.481768,-95.636851
CONUS50-+00000-+00013,lower_48,no_direct_compensation_outcome,police,1,0.0,1125833.025,33.426257,-96.344594
CONUS50-+00000-+00017,lower_48,no_direct_compensation_outcome,remains_unclear,1,0.0,1472243.186,35.943753,-96.05314
CONUS50-+00000-+00027,lower_48,no_direct_compensation_outcome,side_independent,2,0.0,2338268.59,43.714686,-96.00668
CONUS50-+00000-+00028,lower_48,no_direct_compensation_outcome,police,1,0.0,2424871.131,44.511569,-95.89261
CONUS50-+00000-+00028,lower_48,no_direct_compensation_outcome,remains_unclear,1,0.0,2424871.131,45.012763,-96.189057
CONUS50-+00000-+00028,lower_48,no_direct_compensation_outcome,side_independent,2,0.0,2424871.131,44.464282,-96.251729
CONUS50-+00000-+00029,lower_48,no_direct_compensation_outcome,mixed,1,0.0,2511473.671,45.611628,-95.532189
CONUS50-+00000-+00029,lower_48,no_direct_compensation_outcome,side_independent,1,0.0,2511473.671,45.315182,-95.60537
CONUS50-+00000-+00030,lower_48,no_direct_compensation_outcome,non_safety,2,0.0,2598076.211,46.648762,-95.802139
CONUS50-+00000-+00031,lower_48,no_direct_compensation_outcome,police,1,0.0,2684678.752,46.857795,-95.859862
CONUS50-+00000-+00032,lower_48,no_direct_compensation_outcome,side_independent,1,0.0,2771281.292,47.70632,-96.018258
CONUS50-+00000-+00033,lower_48,no_direct_compensation_outcome,remains_unclear,1,0.0,2857883.832,48.844462,-95.762434
CONUS50-+00001-+00007,lower_48,no_direct_compensation_outcome,police,1,75000.0,649519.053,29.28262,-95.007631
CONUS50-+00001-+00012,lower_48,no_direct_compensation_outcome,remains_unclear,1,75000.0,1082531.755,33.177431,-95.224447
CONUS50-+00001-+00012,lower_48,no_direct_compensation_outcome,side_independent,1,75000.0,1082531.755,33.177431,-95.224447
CONUS50-+00001-+00013,lower_48,no_direct_compensation_outcome,side_independent,2,75000.0,1169134.295,33.551195,-94.780084
CONUS50-+00001-+00019,lower_48,no_direct_compensation_outcome,side_independent,1,75000.0,1688749.537,38.44523,-94.86853
CONUS50-+00001-+00024,lower_48,no_direct_compensation_outcome,side_independent,1,75000.0,2121762.239,41.918097,-94.940666
CONUS50-+00001-+00025,lower_48,no_direct_compensation_outcome,side_independent,2,75000.0,2208364.78,42.949759,-95.012919
CONUS50-+00001-+00026,lower_48,no_direct_compensation_outcome,side_independent,1,75000.0,2294967.32,43.644789,-94.464015
CONUS50-+00001-+00027,lower_48,no_direct_compensation_outcome,non_safety,1,75000.0,2381569.86,44.41775,-95.553595
CONUS50-+00001-+00027,lower_48,no_direct_compensation_outcome,side_independent,1,75000.0,2381569.86,44.41775,-95.553595
CONUS50-+00001-+00029,lower_48,no_direct_compensation_outcome,non_safety,4,75000.0,2554774.941,45.973519,-95.292361
CONUS50-+00001-+00029,lower_48,no_direct_compensation_outcome,side_independent,2,75000.0,2554774.941,45.81956,-94.71019
CONUS50-+00001-+00030,lower_48,no_direct_compensation_outcome,side_independent,1,75000.0,2641377.482,46.964831,-94.842984
CONUS50-+00002-+00007,lower_48,no_direct_compensation_outcome,side_independent,1,150000.0,692820.323,29.32557,-94.939208
CONUS50-+00002-+00023,lower_48,no_direct_compensation_outcome,remains_unclear,1,150000.0,2078460.969,41.875688,-93.820526
CONUS50-+00002-+00024,lower_48,no_direct_compensation_outcome,remains_unclear,1,150000.0,2165063.509,42.361634,-94.295473
CONUS50-+00002-+00024,lower_48,no_direct_compensation_outcome,side_independent,1,150000.0,2165063.509,42.159243,-94.018294
CONUS50-+00002-+00026,lower_48,no_direct_compensation_outcome,side_independent,1,150000.0,2338268.59,43.913365,-94.650631
CONUS50-+00002-+00027,lower_48,no_direct_compensation_outcome,side_independent,3,150000.0,2424871.131,44.671187,-94.189307
CONUS50-+00002-+00028,lower_48,no_direct_compensation_outcome,police,1,150000.0,2511473.671,45.758035,-93.651565
CONUS50-+00002-+00029,lower_48,no_direct_compensation_outcome,police,1,150000.0,2598076.211,46.296846,-94.01356
CONUS50-+00002-+00030,lower_48,no_direct_compensation_outcome,side_independent,1,150000.0,2684678.752,46.826794,-93.984908
CONUS50-+00002-+00031,lower_48,no_direct_compensation_outcome,side_independent,1,150000.0,2771281.292,47.784781,-93.719119
CONUS50-+00003-+00007,lower_48,no_direct_compensation_outcome,police,1,225000.0,736121.593,29.960768,-93.96179
CONUS50-+00003-+00019,lower_48,no_direct_compensation_outcome,side_independent,1,225000.0,1775352.078,39.07,-92.947247
CONUS50-+00003-+00025,lower_48,no_direct_compensation_outcome,police,2,225000.0,2294967.32,43.672098,-92.977863
CONUS50-+00003-+00025,lower_48,no_direct_compensation_outcome,side_independent,1,225000.0,2294967.32,43.672098,-92.977863
CONUS50-+00003-+00026,lower_48,no_direct_compensation_outcome,non_safety,1,225000.0,2381569.86,44.175801,-93.222513
CONUS50-+00003-+00026,lower_48,no_direct_compensation_outcome,side_independent,2,225000.0,2381569.86,44.238039,-92.980171
CONUS50-+00003-+00028,lower_48,no_direct_compensation_outcome,side_independent,1,225000.0,2554774.941,46.013033,-92.912722
CONUS50-+00003-+00030,lower_48,no_direct_compensation_outcome,side_independent,1,225000.0,2727980.022,47.541039,-92.86219
CONUS50-+00004-+00024,lower_48,no_direct_compensation_outcome,remains_unclear,1,300000.0,2251666.05,43.554005,-92.007471
CONUS50-+00004-+00024,lower_48,no_direct_compensation_outcome,side_independent,3,300000.0,2251666.05,42.937787,-91.950402
CONUS50-+00004-+00026,lower_48,no_direct_compensation_outcome,police,4,300000.0,2424871.131,44.744465,-91.91081
CONUS50-+00004-+00028,lower_48,no_direct_compensation_outcome,police,2,300000.0,2598076.211,46.11635,-91.927007
CONUS50-+00004-+00028,lower_48,no_direct_compensation_outcome,side_independent,1,300000.0,2598076.211,46.607955,-91.704602
CONUS50-+00004-+00030,lower_48,no_direct_compensation_outcome,side_independent,3,300000.0,2771281.292,47.540312,-92.342174
CONUS50-+00005-+00016,lower_48,no_direct_compensation_outcome,remains_unclear,1,375000.0,1602146.997,37.367583,-91.767023
