hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
ALASKA_INSET-cog_2025_160773,alaska_inset,payroll_effective_date,safety_combined,1,1275000.0,2035159.699,57.867012,-152.856248
ALASKA_INSET-cog_2025_160809,alaska_inset,payroll_effective_date,remains_unclear,1,1275000.0,2035159.699,56.29518,-158.391784
ALASKA_INSET-cog_2025_247336,alaska_inset,payroll_effective_date,remains_unclear,1,1275000.0,2035159.699,56.082115,-133.067469
CONUS50-+00000-+00009,lower_48,payroll_effective_date,police,1,0.0,779422.863,30.386399,-96.090734
CONUS50-+00000-+00009,lower_48,payroll_effective_date,remains_unclear,1,0.0,779422.863,29.764102,-96.162165
CONUS50-+00000-+00013,lower_48,payroll_effective_date,police,1,0.0,1125833.025,33.426257,-96.344594
CONUS50-+00000-+00015,lower_48,payroll_effective_date,fire,1,0.0,1299038.106,34.929783,-95.718636
CONUS50-+00000-+00015,lower_48,payroll_effective_date,remains_unclear,1,0.0,1299038.106,34.723294,-95.902895
CONUS50-+00000-+00017,lower_48,payroll_effective_date,remains_unclear,1,0.0,1472243.186,35.943753,-96.05314
CONUS50-+00000-+00020,lower_48,payroll_effective_date,remains_unclear,2,0.0,1732050.808,38.507339,-95.637764
CONUS50-+00000-+00023,lower_48,payroll_effective_date,remains_unclear,3,0.0,1991858.429,40.916421,-95.927428
CONUS50-+00000-+00025,lower_48,payroll_effective_date,police,1,0.0,2165063.509,42.62279,-96.29815
CONUS50-+00000-+00025,lower_48,payroll_effective_date,remains_unclear,1,0.0,2165063.509,42.490235,-96.067924
CONUS50-+00000-+00026,lower_48,payroll_effective_date,police,1,0.0,2251666.05,43.418215,-95.53666
CONUS50-+00000-+00027,lower_48,payroll_effective_date,police,4,0.0,2338268.59,44.232947,-95.871071
CONUS50-+00000-+00027,lower_48,payroll_effective_date,remains_unclear,5,0.0,2338268.59,44.232947,-95.871071
CONUS50-+00000-+00027,lower_48,payroll_effective_date,side_independent,2,0.0,2338268.59,43.714686,-96.00668
CONUS50-+00000-+00028,lower_48,payroll_effective_date,remains_unclear,4,0.0,2424871.131,44.464282,-96.251729
CONUS50-+00000-+00028,lower_48,payroll_effective_date,side_independent,1,0.0,2424871.131,45.015038,-95.930294
CONUS50-+00000-+00029,lower_48,payroll_effective_date,police,2,0.0,2511473.671,45.611628,-95.532189
CONUS50-+00000-+00029,lower_48,payroll_effective_date,remains_unclear,2,0.0,2511473.671,45.315182,-95.60537
CONUS50-+00000-+00029,lower_48,payroll_effective_date,side_independent,1,0.0,2511473.671,45.315182,-95.60537
CONUS50-+00000-+00030,lower_48,payroll_effective_date,remains_unclear,2,0.0,2598076.211,46.284912,-95.718697
CONUS50-+00000-+00031,lower_48,payroll_effective_date,police,2,0.0,2684678.752,46.857795,-95.859862
CONUS50-+00000-+00032,lower_48,payroll_effective_date,side_independent,1,0.0,2771281.292,47.70632,-96.018258
CONUS50-+00000-+00033,lower_48,payroll_effective_date,remains_unclear,1,0.0,2857883.832,48.701061,-96.183554
CONUS50-+00001-+00008,lower_48,payroll_effective_date,remains_unclear,1,75000.0,736121.593,29.571455,-95.045248
CONUS50-+00001-+00010,lower_48,payroll_effective_date,police,1,75000.0,909326.674,31.317111,-95.456586
CONUS50-+00001-+00013,lower_48,payroll_effective_date,side_independent,2,75000.0,1169134.295,33.551195,-94.780084
CONUS50-+00001-+00015,lower_48,payroll_effective_date,police,2,75000.0,1342339.376,35.292114,-95.586425
CONUS50-+00001-+00016,lower_48,payroll_effective_date,remains_unclear,1,75000.0,1428941.916,36.189507,-95.338902
CONUS50-+00001-+00017,lower_48,payroll_effective_date,remains_unclear,1,75000.0,1515544.457,37.058485,-95.359175
CONUS50-+00001-+00018,lower_48,payroll_effective_date,police,1,75000.0,1602146.997,37.185207,-95.291909
CONUS50-+00001-+00019,lower_48,payroll_effective_date,side_independent,1,75000.0,1688749.537,38.44523,-94.86853
CONUS50-+00001-+00020,lower_48,payroll_effective_date,police,1,75000.0,1775352.078,39.04019,-94.768526
CONUS50-+00001-+00021,lower_48,payroll_effective_date,remains_unclear,1,75000.0,1861954.618,39.8186,-95.496234
CONUS50-+00001-+00023,lower_48,payroll_effective_date,remains_unclear,2,75000.0,2035159.699,41.482816,-95.337261
CONUS50-+00001-+00024,lower_48,payroll_effective_date,police,1,75000.0,2121762.239,42.26767,-94.731054
CONUS50-+00001-+00024,lower_48,payroll_effective_date,side_independent,1,75000.0,2121762.239,41.918097,-94.940666
CONUS50-+00001-+00025,lower_48,payroll_effective_date,remains_unclear,1,75000.0,2208364.78,43.23702,-94.750469
CONUS50-+00001-+00025,lower_48,payroll_effective_date,side_independent,2,75000.0,2208364.78,42.949759,-95.012919
CONUS50-+00001-+00026,lower_48,payroll_effective_date,police,5,75000.0,2294967.32,43.644789,-94.464015
CONUS50-+00001-+00026,lower_48,payroll_effective_date,remains_unclear,1,75000.0,2294967.32,43.666246,-94.607302
CONUS50-+00001-+00027,lower_48,payroll_effective_date,non_safety,1,75000.0,2381569.86,44.41775,-95.553595
CONUS50-+00001-+00027,lower_48,payroll_effective_date,police,1,75000.0,2381569.86,44.298945,-94.723594
CONUS50-+00001-+00027,lower_48,payroll_effective_date,side_independent,1,75000.0,2381569.86,44.41775,-95.553595
CONUS50-+00001-+00028,lower_48,payroll_effective_date,police,3,75000.0,2468172.401,44.957438,-95.367668
CONUS50-+00001-+00028,lower_48,payroll_effective_date,remains_unclear,1,75000.0,2468172.401,45.378519,-94.721592
CONUS50-+00001-+00029,lower_48,payroll_effective_date,non_safety,2,75000.0,2554774.941,45.736472,-94.952729
CONUS50-+00001-+00029,lower_48,payroll_effective_date,police,5,75000.0,2554774.941,45.90404,-95.20582
