hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00001-+00027,lower_48,uniform_or_equipment_allowance,police,1,75000.0,2381569.86,44.298945,-94.723594
CONUS50-+00002-+00029,lower_48,uniform_or_equipment_allowance,police,2,150000.0,2598076.211,46.343935,-94.276015
CONUS50-+00003-+00016,lower_48,uniform_or_equipment_allowance,remains_unclear,1,225000.0,1515544.457,36.901086,-93.570009
CONUS50-+00003-+00025,lower_48,uniform_or_equipment_allowance,police,1,225000.0,2294967.32,43.884341,-93.459867
CONUS50-+00003-+00026,lower_48,uniform_or_equipment_allowance,police,1,225000.0,2381569.86,44.254158,-93.596295
CONUS50-+00004-+00025,lower_48,uniform_or_equipment_allowance,police,1,300000.0,2338268.59,44.143252,-92.132799
CONUS50-+00006-+00026,lower_48,uniform_or_equipment_allowance,police,1,450000.0,2511473.671,45.135433,-90.343502
CONUS50-+00007-+00022,lower_48,uniform_or_equipment_allowance,remains_unclear,1,525000.0,2208364.78,42.367113,-89.310304
CONUS50-+00008-+00021,lower_48,uniform_or_equipment_allowance,police,2,600000.0,2165063.509,41.886013,-88.460926
CONUS50-+00012-+00021,lower_48,uniform_or_equipment_allowance,remains_unclear,1,900000.0,2338268.59,43.683194,-84.797654
CONUS50-+00012-+00023,lower_48,uniform_or_equipment_allowance,police,1,900000.0,2511473.671,45.018978,-84.680907
CONUS50-+00013-+00015,lower_48,uniform_or_equipment_allowance,police,1,975000.0,1861954.618,39.317319,-84.19657
CONUS50-+00013-+00016,lower_48,uniform_or_equipment_allowance,police,1,975000.0,1948557.159,39.811042,-84.016694
CONUS50-+00013-+00017,lower_48,uniform_or_equipment_allowance,fire,1,975000.0,2035159.699,40.691353,-84.170464
CONUS50-+00013-+00017,lower_48,uniform_or_equipment_allowance,police,1,975000.0,2035159.699,40.48269,-84.631441
CONUS50-+00013-+00018,lower_48,uniform_or_equipment_allowance,remains_unclear,1,975000.0,2121762.239,41.584874,-83.885249
CONUS50-+00013-+00018,lower_48,uniform_or_equipment_allowance,safety_combined,1,975000.0,2121762.239,41.584874,-83.885249
CONUS50-+00014-+00007,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1050000.0,1212435.565,33.581071,-84.745886
CONUS50-+00014-+00014,lower_48,uniform_or_equipment_allowance,fire,3,1050000.0,1818653.348,38.980999,-83.337154
CONUS50-+00014-+00016,lower_48,uniform_or_equipment_allowance,non_safety,1,1050000.0,1991858.429,40.286476,-83.074864
CONUS50-+00014-+00016,lower_48,uniform_or_equipment_allowance,police,1,1050000.0,1991858.429,40.109095,-83.754987
CONUS50-+00014-+00016,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1050000.0,1991858.429,40.146587,-83.23666
CONUS50-+00014-+00017,lower_48,uniform_or_equipment_allowance,side_independent,1,1050000.0,2078460.969,41.21291,-83.359908
CONUS50-+00014-+00018,lower_48,uniform_or_equipment_allowance,police,1,1050000.0,2165063.509,42.129896,-83.15077
CONUS50-+00014-+00019,lower_48,uniform_or_equipment_allowance,police,1,1050000.0,2251666.05,42.58936,-83.371309
CONUS50-+00014-+00019,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1050000.0,2251666.05,42.747374,-83.391768
CONUS50-+00015-+00016,lower_48,uniform_or_equipment_allowance,police,1,1125000.0,2035159.699,40.767639,-82.627431
CONUS50-+00015-+00016,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1125000.0,2035159.699,40.767639,-82.627431
CONUS50-+00015-+00017,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1125000.0,2121762.239,41.428366,-82.828677
CONUS50-+00015-+00017,lower_48,uniform_or_equipment_allowance,side_independent,1,1125000.0,2121762.239,41.428366,-82.828677
CONUS50-+00016-+00015,lower_48,uniform_or_equipment_allowance,side_independent,1,1200000.0,1991858.429,40.487347,-81.984916
CONUS50-+00016-+00016,lower_48,uniform_or_equipment_allowance,police,2,1200000.0,2078460.969,40.691296,-81.602142
CONUS50-+00016-+00016,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1200000.0,2078460.969,41.161567,-81.242058
CONUS50-+00017-+00015,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1275000.0,2035159.699,40.700398,-80.568573
CONUS50-+00017-+00016,lower_48,uniform_or_equipment_allowance,fire,1,1275000.0,2121762.239,41.23828,-80.751872
CONUS50-+00017-+00016,lower_48,uniform_or_equipment_allowance,police,3,1275000.0,2121762.239,41.23646,-80.561784
CONUS50-+00017-+00016,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1275000.0,2121762.239,41.23828,-80.751872
CONUS50-+00017-+00016,lower_48,uniform_or_equipment_allowance,side_independent,1,1275000.0,2121762.239,40.84985,-80.797519
CONUS50-+00018-+00018,lower_48,uniform_or_equipment_allowance,remains_unclear,1,1350000.0,2338268.59,43.184149,-78.951416
CONUS50-+00019-+00017,lower_48,uniform_or_equipment_allowance,police,1,1425000.0,2294967.32,42.723357,-78.834804
CONUS50-+00021-+00016,lower_48,uniform_or_equipment_allowance,non_safety,2,1575000.0,2294967.32,42.443937,-76.503055
