hex_cell_id,geography_panel,mechanism_tag,side,implementation_event_count,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude
CONUS50-+00000-+00028,lower_48,settlement_or_mou,remains_unclear,1,0.0,2424871.131,44.449061,-95.789201
CONUS50-+00000-+00028,lower_48,settlement_or_mou,side_independent,1,0.0,2424871.131,44.464282,-96.251729
CONUS50-+00001-+00008,lower_48,settlement_or_mou,remains_unclear,1,75000.0,736121.593,29.571455,-95.045248
CONUS50-+00001-+00027,lower_48,settlement_or_mou,non_safety,1,75000.0,2381569.86,44.41775,-95.553595
CONUS50-+00001-+00027,lower_48,settlement_or_mou,side_independent,1,75000.0,2381569.86,44.41775,-95.553595
CONUS50-+00001-+00031,lower_48,settlement_or_mou,fire,1,75000.0,2727980.022,47.73191,-94.559553
CONUS50-+00001-+00031,lower_48,settlement_or_mou,remains_unclear,1,75000.0,2727980.022,47.73191,-94.559553
CONUS50-+00002-+00026,lower_48,settlement_or_mou,police,1,150000.0,2338268.59,44.048164,-94.419927
CONUS50-+00002-+00028,lower_48,settlement_or_mou,remains_unclear,1,150000.0,2511473.671,45.232626,-94.009546
CONUS50-+00003-+00025,lower_48,settlement_or_mou,remains_unclear,1,225000.0,2294967.32,43.89298,-93.11009
CONUS50-+00003-+00028,lower_48,settlement_or_mou,side_independent,1,225000.0,2554774.941,46.013033,-92.912722
CONUS50-+00003-+00029,lower_48,settlement_or_mou,police,1,225000.0,2641377.482,46.910627,-92.905937
CONUS50-+00005-+00016,lower_48,bargaining_leverage,remains_unclear,1,375000.0,1602146.997,37.367583,-91.767023
CONUS50-+00005-+00024,lower_48,contract_ratification,police,1,375000.0,2294967.32,43.481155,-90.892126
CONUS50-+00006-+00026,lower_48,settlement_or_mou,police,1,450000.0,2511473.671,45.135433,-90.343502
CONUS50-+00007-+00022,lower_48,contract_ratification,police,1,525000.0,2208364.78,42.603019,-89.637626
CONUS50-+00007-+00023,lower_48,bargaining_leverage,police,2,525000.0,2294967.32,43.468072,-89.738387
CONUS50-+00008-+00022,lower_48,bargaining_leverage,police,1,600000.0,2251666.05,42.972663,-88.787067
CONUS50-+00008-+00022,lower_48,interest_arbitration,police,1,600000.0,2251666.05,42.972663,-88.787067
CONUS50-+00009-+00012,lower_48,settlement_or_mou,side_independent,1,675000.0,1428941.916,36.034881,-88.24657
CONUS50-+00009-+00020,lower_48,bargaining_leverage,remains_unclear,1,675000.0,2121762.239,41.788452,-87.813921
CONUS50-+00010-+00018,lower_48,settlement_or_mou,police,1,750000.0,1991858.429,40.68686,-87.274943
CONUS50-+00011-+00018,lower_48,settlement_or_mou,non_safety,1,825000.0,2035159.699,41.138061,-86.12524
CONUS50-+00012-+00010,lower_48,settlement_or_mou,side_independent,1,900000.0,1385640.646,34.876797,-85.81435
CONUS50-+00012-+00021,lower_48,contract_ratification,remains_unclear,1,900000.0,2338268.59,43.575408,-84.817063
CONUS50-+00013-+00017,lower_48,bargaining_leverage,fire,1,975000.0,2035159.699,40.585726,-84.736957
CONUS50-+00013-+00017,lower_48,settlement_or_mou,fire,1,975000.0,2035159.699,40.585726,-84.736957
CONUS50-+00013-+00019,lower_48,contract_ratification,fire,1,975000.0,2208364.78,42.388627,-83.729032
CONUS50-+00014-+00014,lower_48,bargaining_leverage,fire,1,1050000.0,1818653.348,38.980999,-83.337154
CONUS50-+00014-+00016,lower_48,contract_ratification,side_independent,1,1050000.0,1991858.429,40.286476,-83.074864
CONUS50-+00014-+00018,lower_48,bargaining_leverage,police,1,1050000.0,2165063.509,41.48348,-83.016313
CONUS50-+00014-+00018,lower_48,settlement_or_mou,fire,1,1050000.0,2165063.509,41.691566,-83.401339
CONUS50-+00014-+00018,lower_48,settlement_or_mou,police,1,1050000.0,2165063.509,42.129896,-83.15077
CONUS50-+00015-+00015,lower_48,bargaining_leverage,police,1,1125000.0,1948557.159,39.74616,-82.975542
CONUS50-+00015-+00016,lower_48,settlement_or_mou,police,1,1125000.0,2035159.699,40.767639,-82.627431
CONUS50-+00015-+00016,lower_48,settlement_or_mou,remains_unclear,1,1125000.0,2035159.699,40.767639,-82.627431
CONUS50-+00016-+00009,lower_48,settlement_or_mou,remains_unclear,1,1200000.0,1472243.186,35.699321,-82.555719
CONUS50-+00016-+00016,lower_48,settlement_or_mou,fire,1,1200000.0,2078460.969,41.004636,-81.534511
CONUS50-+00016-+00016,lower_48,settlement_or_mou,police,1,1200000.0,2078460.969,41.233971,-81.553175
CONUS50-+00016-+00016,lower_48,settlement_or_mou,remains_unclear,1,1200000.0,2078460.969,41.161567,-81.242058
CONUS50-+00016-+00017,lower_48,bargaining_leverage,fire,1,1200000.0,2165063.509,41.535863,-81.340912
CONUS50-+00017-+00016,lower_48,bargaining_leverage,police,1,1275000.0,2121762.239,41.095626,-80.451427
CONUS50-+00017-+00016,lower_48,settlement_or_mou,police,1,1275000.0,2121762.239,41.168721,-80.763927
CONUS50-+00018-+00008,lower_48,settlement_or_mou,police,1,1350000.0,1472243.186,35.110304,-80.66012
CONUS50-+00018-+00015,lower_48,bargaining_leverage,non_safety,1,1350000.0,2078460.969,40.514782,-79.601134
CONUS50-+00018-+00015,lower_48,bargaining_leverage,police,1,1350000.0,2078460.969,40.514782,-79.601134
CONUS50-+00018-+00015,lower_48,settlement_or_mou,fire,2,1350000.0,2078460.969,40.514782,-79.601134
CONUS50-+00018-+00015,lower_48,settlement_or_mou,non_safety,1,1350000.0,2078460.969,40.514782,-79.601134
CONUS50-+00018-+00015,lower_48,settlement_or_mou,police,2,1350000.0,2078460.969,40.514782,-79.601134
CONUS50-+00018-+00016,lower_48,bargaining_leverage,remains_unclear,1,1350000.0,2165063.509,41.496794,-79.760924
CONUS50-+00019-+00008,lower_48,settlement_or_mou,side_independent,1,1425000.0,1515544.457,35.815921,-79.807662
CONUS50-+00020-+00017,lower_48,settlement_or_mou,police,1,1500000.0,2338268.59,42.40874,-77.222858
CONUS50-+00021-+00007,lower_48,settlement_or_mou,side_independent,1,1575000.0,1515544.457,35.116461,-78.136287
CONUS50-+00021--00004,lower_48,settlement_or_mou,remains_unclear,1,1575000.0,562916.512,27.197011,-80.198858
CONUS50-+00022-+00013,lower_48,bargaining_leverage,police,1,1650000.0,2078460.969,40.064424,-76.795847
CONUS50-+00022-+00013,lower_48,settlement_or_mou,police,2,1650000.0,2078460.969,39.984798,-76.415482
CONUS50-+00022-+00013,lower_48,settlement_or_mou,remains_unclear,1,1650000.0,2078460.969,40.20861,-76.785533
CONUS50-+00023-+00013,lower_48,settlement_or_mou,police,1,1725000.0,2121762.239,40.070314,-75.318777
CONUS50-+00023-+00014,lower_48,bargaining_leverage,police,1,1725000.0,2208364.78,41.037737,-75.489638
CONUS50-+00024-+00012,lower_48,settlement_or_mou,remains_unclear,1,1800000.0,2078460.969,40.213339,-74.431681
CONUS50-+00024-+00013,lower_48,settlement_or_mou,remains_unclear,1,1800000.0,2165063.509,40.426124,-74.678446
CONUS50-+00024-+00014,lower_48,settlement_or_mou,police,1,1800000.0,2251666.05,41.269857,-73.817867
CONUS50-+00024-+00015,lower_48,settlement_or_mou,side_independent,2,1800000.0,2338268.59,42.035959,-73.580146
CONUS50-+00025-+00011,lower_48,bargaining_leverage,remains_unclear,1,1875000.0,2035159.699,39.60155,-74.226367
CONUS50-+00025-+00013,lower_48,settlement_or_mou,police,1,1875000.0,2208364.78,40.939493,-73.82644
CONUS50-+00026-+00013,lower_48,contract_ratification,remains_unclear,1,1950000.0,2251666.05,40.876617,-72.403089
CONUS50-+00027-+00014,lower_48,contract_ratification,police,2,2025000.0,2381569.86,42.262428,-70.798883
CONUS50-+00027-+00016,lower_48,settlement_or_mou,fire,1,2025000.0,2554774.941,43.23198,-70.585466
CONUS50--00001-+00030,lower_48,settlement_or_mou,remains_unclear,1,-75000.0,2554774.941,46.054343,-97.506801
CONUS50--00004-+00016,lower_48,settlement_or_mou,remains_unclear,1,-300000.0,1212435.565,33.595233,-99.258469
CONUS50--00004-+00029,lower_48,settlement_or_mou,remains_unclear,1,-300000.0,2338268.59,43.903477,-99.862001
CONUS50--00014-+00030,lower_48,settlement_or_mou,remains_unclear,1,-1050000.0,1991858.429,40.239861,-109.006795
CONUS50--00025-+00048,lower_48,settlement_or_mou,remains_unclear,1,-1875000.0,3074390.183,48.532617,-121.755155
CONUS50--00029-+00036,lower_48,settlement_or_mou,remains_unclear,1,-2175000.0,1861954.618,37.252549,-120.995513
CONUS50--00030-+00036,lower_48,contract_ratification,non_safety,1,-2250000.0,1818653.348,36.552881,-121.921919
