hex_cell_id,geography_panel,projected_hex_center_x,projected_hex_center_y,centroid_latitude,centroid_longitude,mechanism_tag,side,implementation_event_count,root_compensation_event_count,unique_municipality_count,unique_cycle_count,urban_event_count,rural_event_count,unknown_urbanicity_count
ALASKA_INSET-cog_2025_100234,alaska_inset,1275000.0,2035159.699,59.737057,-154.902414,across_the_board_raise,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_100234,alaska_inset,1275000.0,2035159.699,59.737057,-154.902414,none_identified,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_100234,alaska_inset,1275000.0,2035159.699,59.737057,-154.902414,recurring,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,across_the_board_raise,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,budget_pay_plan_process,side_independent,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,fiscal_constraint,side_independent,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,none_identified,remains_unclear,2,2,1,1,0,2,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,one_time,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,ordinance_adoption,side_independent,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,ordinance_council_adoption,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,ordinance_council_adoption,side_independent,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,recurring,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,recurring,side_independent,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,retroactive,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,retroactive_pay,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122702,alaska_inset,1275000.0,2035159.699,61.573919,-159.246921,step_progression,side_independent,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122710,alaska_inset,1275000.0,2035159.699,59.052942,-160.396855,none_identified,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122710,alaska_inset,1275000.0,2035159.699,59.052942,-160.396855,retroactive,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_122710,alaska_inset,1275000.0,2035159.699,59.052942,-160.396855,retroactive_pay,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_137163,alaska_inset,1275000.0,2035159.699,55.215515,-162.775546,across_the_board_raise,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_137163,alaska_inset,1275000.0,2035159.699,55.215515,-162.775546,none_identified,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_137163,alaska_inset,1275000.0,2035159.699,55.215515,-162.775546,recurring,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160773,alaska_inset,1275000.0,2035159.699,57.867012,-152.856248,none_identified,safety_combined,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160773,alaska_inset,1275000.0,2035159.699,57.867012,-152.856248,payroll_effective_date,safety_combined,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160773,alaska_inset,1275000.0,2035159.699,57.867012,-152.856248,recurring,safety_combined,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160773,alaska_inset,1275000.0,2035159.699,57.867012,-152.856248,retroactive,safety_combined,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160773,alaska_inset,1275000.0,2035159.699,57.867012,-152.856248,retroactive_pay,safety_combined,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160773,alaska_inset,1275000.0,2035159.699,57.867012,-152.856248,stipend_or_premium,safety_combined,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160809,alaska_inset,1275000.0,2035159.699,56.29518,-158.391784,none_identified,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160809,alaska_inset,1275000.0,2035159.699,56.29518,-158.391784,ordinance_adoption,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160809,alaska_inset,1275000.0,2035159.699,56.29518,-158.391784,ordinance_council_adoption,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160809,alaska_inset,1275000.0,2035159.699,56.29518,-158.391784,payroll_effective_date,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160809,alaska_inset,1275000.0,2035159.699,56.29518,-158.391784,retroactive,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_160809,alaska_inset,1275000.0,2035159.699,56.29518,-158.391784,retroactive_pay,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_203929,alaska_inset,1275000.0,2035159.699,58.205148,-157.521978,none_identified,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_203929,alaska_inset,1275000.0,2035159.699,58.205148,-157.521978,one_time,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_203929,alaska_inset,1275000.0,2035159.699,58.205148,-157.521978,retroactive,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_203929,alaska_inset,1275000.0,2035159.699,58.205148,-157.521978,retroactive_pay,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_247336,alaska_inset,1275000.0,2035159.699,56.082115,-133.067469,none_identified,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_247336,alaska_inset,1275000.0,2035159.699,56.082115,-133.067469,payroll_effective_date,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_247336,alaska_inset,1275000.0,2035159.699,56.082115,-133.067469,retroactive,remains_unclear,1,1,1,1,0,1,0
ALASKA_INSET-cog_2025_247336,alaska_inset,1275000.0,2035159.699,56.082115,-133.067469,retroactive_pay,remains_unclear,1,1,1,1,0,1,0
CONUS50-+00000-+00008,lower_48,0.0,692820.323,29.481768,-95.636851,budget_appropriation,side_independent,1,1,1,1,0,1,0
CONUS50-+00000-+00008,lower_48,0.0,692820.323,29.481768,-95.636851,budget_pay_plan_process,side_independent,1,1,1,1,0,1,0
CONUS50-+00000-+00008,lower_48,0.0,692820.323,29.481768,-95.636851,fiscal_constraint,side_independent,1,1,1,1,0,1,0
CONUS50-+00000-+00008,lower_48,0.0,692820.323,29.481768,-95.636851,no_direct_compensation_outcome,side_independent,1,1,1,1,0,1,0
CONUS50-+00000-+00008,lower_48,0.0,692820.323,29.481768,-95.636851,ordinance_adoption,side_independent,1,1,1,1,0,1,0
CONUS50-+00000-+00008,lower_48,0.0,692820.323,29.481768,-95.636851,ordinance_council_adoption,side_independent,1,1,1,1,0,1,0
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.390385,-95.698168,none_identified,police,2,2,2,2,1,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,29.764102,-96.162165,none_identified,remains_unclear,1,1,1,1,0,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.390385,-95.698168,one_time,police,1,1,1,1,0,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.386399,-96.090734,payroll_effective_date,police,1,1,1,1,1,0,0
CONUS50-+00000-+00009,lower_48,0.0,779422.863,29.764102,-96.162165,payroll_effective_date,remains_unclear,1,1,1,1,0,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.386399,-96.090734,recurring,police,1,1,1,1,1,0,0
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.390385,-95.698168,retroactive,police,2,2,2,2,1,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,29.764102,-96.162165,retroactive,remains_unclear,1,1,1,1,0,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.390385,-95.698168,retroactive_pay,police,2,2,2,2,1,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,29.764102,-96.162165,retroactive_pay,remains_unclear,1,1,1,1,0,0,1
CONUS50-+00000-+00009,lower_48,0.0,779422.863,30.386399,-96.090734,step_progression,police,1,1,1,1,1,0,0
CONUS50-+00000-+00013,lower_48,0.0,1125833.025,33.426257,-96.344594,budget_pay_plan_process,police,1,1,1,1,0,1,0
CONUS50-+00000-+00013,lower_48,0.0,1125833.025,33.426257,-96.344594,fiscal_constraint,police,1,1,1,1,0,1,0
CONUS50-+00000-+00013,lower_48,0.0,1125833.025,33.426257,-96.344594,no_direct_compensation_outcome,police,1,1,1,1,0,1,0
CONUS50-+00000-+00013,lower_48,0.0,1125833.025,33.426257,-96.344594,payroll_effective_date,police,1,1,1,1,0,1,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.929783,-95.718636,across_the_board_raise,fire,1,1,1,1,1,0,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.929783,-95.718636,none_identified,fire,1,1,1,1,1,0,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.723294,-95.902895,none_identified,remains_unclear,1,1,1,1,0,1,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.723294,-95.902895,ordinance_adoption,remains_unclear,1,1,1,1,0,1,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.723294,-95.902895,ordinance_council_adoption,remains_unclear,1,1,1,1,0,1,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.929783,-95.718636,payroll_effective_date,fire,1,1,1,1,1,0,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.723294,-95.902895,payroll_effective_date,remains_unclear,1,1,1,1,0,1,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.929783,-95.718636,recurring,fire,1,1,1,1,1,0,0
CONUS50-+00000-+00015,lower_48,0.0,1299038.106,34.929783,-95.718636,retroactive,fire,1,1,1,1,1,0,0
