mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-3627790b4f68a245b7235810,ROOTCOMP-ea2ba21531f5c1ef50335d20,Wheatland,CA,2019,compensation_outcome,benefit_cost_change,non_safety,implemented,high
MECHEXP-c2c4f62be03d081f99fe0de0,ROOTCOMP-ca75d89b46c0ed5311f995c7,Castle Pines,CO,2024,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-be8e5c880505141cf5548e72,ROOTCOMP-c107376336f60c65706ae85e,Palo,IA,undated-source-B4X2500LIVE-20260729-000069,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-19ea3303aa5f75b3e688e22d,ROOTCOMP-1d79cb9767c670002b9012f0,Gibson City,IL,2015,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-f8204ad0c86c780fdc38f3c4,ROOTCOMP-b51a5a068a1f3d3ba40a066d,River Forest,IL,2023,compensation_outcome,benefit_cost_change,police,implemented,high
MECHEXP-bc68caf34bf18cf2f2b65523,ROOTCOMP-9fe76b2350e5712f1070808b,River Forest,IL,2026,compensation_outcome,benefit_cost_change,police,implemented,high
MECHEXP-5476ec2b471e69c70ee487e1,ROOTCOMP-5f8a75a4e5ac3ee350b71c3f,Ogunquit,ME,2017,compensation_outcome,benefit_cost_change,fire,implemented,high
MECHEXP-69e4fe9d011e49cb2bf2fbd2,ROOTCOMP-8b1f66fd397e25f8d0fa9047,Bloomfield,MI,2025,compensation_outcome,benefit_cost_change,fire,implemented,high
MECHEXP-cd216deebddfb3279b16907b,ROOTCOMP-758ee478d16dece219ba50ae,Bloomfield charter,MI,2026,compensation_outcome,benefit_cost_change,non_safety,implemented,high
MECHEXP-10f4ec1b762ef65f1551a8a2,ROOTCOMP-5529395141ddc32cfebff5bb,Bloomfield charter,MI,2026,compensation_outcome,benefit_cost_change,police,implemented,high
MECHEXP-25422f40ce12797dcacdb67d,ROOTCOMP-1ffd18f48aeea47eebd07513,Brighton,MI,2020,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-7647134fd27f30805a137849,ROOTCOMP-634af079453bf90834453f99,Saline,MI,undated-source-BRMGRS-20260802-4530e7bc048420e9bf1ec007,compensation_outcome,benefit_cost_change,police,implemented,high
MECHEXP-acd3bed010c7835364877af9,ROOTCOMP-25980fbc15107194b7d3e139,Sturgis,MI,2021,compensation_outcome,benefit_cost_change,police,formally_adopted,high
MECHEXP-7a764aff6d6121b5aae90349,ROOTCOMP-5630f60ff105f108c13dfc3a,Blooming Prairie,MN,2026,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-e569282c08148cb40633d06d,ROOTCOMP-9c6c49852ae88d036552afea,Crosby,MN,2025,compensation_outcome,benefit_cost_change,non_safety,implemented,high
MECHEXP-2a5eaf3571084c917814aee9,ROOTCOMP-fb0bc30f2c7d40db3e47296a,Crow Wing,MN,2018,compensation_outcome,benefit_cost_change,police,implemented,high
MECHEXP-b875d8f476b8a98d6c79f1c5,ROOTCOMP-8ecc84138862753853a87782,Deer River,MN,undated-source-B4X2500LIVE-20260729-005500,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-ab1053baa55812701f9bb405,ROOTCOMP-d8e83f40086055d66180650f,Grand Lake,MN,2026,compensation_outcome,benefit_cost_change,fire,implemented,high
MECHEXP-1d66bef1fe97d526dc45ae42,ROOTCOMP-ea8ba4e2e59960aee0922456,Ivanhoe,MN,2024,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-48813a6aef99656c11ef93d8,ROOTCOMP-1797574e11d9e4ae4d748cf0,Madison,MN,2026,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
MECHEXP-ac3850d3c86754a6ae652737,ROOTCOMP-eaab25e589d54c103c249a65,Maple Plain,MN,2026,compensation_outcome,benefit_cost_change,fire,implemented,high
MECHEXP-e973854dc1d6ba69bacff3a1,ROOTCOMP-c3a1a7a13c232b0a467d314c,Milaca,MN,2023,compensation_outcome,benefit_cost_change,police,implemented,high
MECHEXP-ce334ae61a6b41949dc1fe1c,ROOTCOMP-e2eb2a09d2e7e1553d6c639b,Plymouth,NC,undated-source-B4X2500LIVE-20260729-007022,compensation_outcome,benefit_cost_change,remains_unclear,implemented,high
