mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-9dd975dfd06a053bf9016b69,ROOTCOMP-3d7b140f683fd69d39f731bf,Colfax,CA,2021,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-3333a707fdf51396e07fe28f,ROOTCOMP-678cf9754dfe5e6ea83f8690,Colma,CA,2018,compensation_outcome,non_base_compensation_other,remains_unclear,formally_adopted,high
MECHEXP-23d71c8a6a793e87e014089e,ROOTCOMP-b64ed7697ee120c797b79cd7,Archer,FL,undated-source-B4X2500LIVE-20260729-001772,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-8103df7a4ff06b23fad81050,ROOTCOMP-bb004f13a92a2b3fa35d3d06,Holly Hill,FL,undated-source-BRMGRS-20260802-0e2343bf70ef19cfcc66b47f,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-be23019632c250dfdad6afbc,ROOTCOMP-b3540574c297c9ed550a3697,Jupiter Island,FL,2023,compensation_outcome,non_base_compensation_other,police,formally_adopted,high
MECHEXP-48d956fc7debfa2713037f67,ROOTCOMP-ea6ed86f2d0882ee608ccbb4,Miles,IA,2021,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-6403f99e998c8c2019224dce,ROOTCOMP-6ad3daff83f322811bdc507e,Ocheyedan,IA,undated-source-BRMGRS-20260802-0bf0246845e49763b4029638,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-498aee55c2751edfa45f4545,ROOTCOMP-9e584661ba2c0553d57652b8,Camargo,IL,2023,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-c9e357a159bf8ade1918d1c6,ROOTCOMP-beb85ac7fb032e49ae21c99e,Camargo,IL,undated-source-BRMGRS-20260802-3091efa7884845e6e848001f,compensation_outcome,non_base_compensation_other,remains_unclear,formally_adopted,high
MECHEXP-b3a217d36dce0e8b0e35e8a5,ROOTCOMP-110494cc88d947b1fb81d9bc,Carlock,IL,2017,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-31edf9bf59005890b4d11b1e,ROOTCOMP-6848382e32df4868e3f8facb,Casey,IL,2019,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-56d63c8a328e3c5e682401c0,ROOTCOMP-d3d6278f4a97b18a2a156997,Charleston,IL,2017,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-c349eaa00782cc0d6fa04e19,ROOTCOMP-80df7fb8c3894df99b646eda,Charleston,IL,2021,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-de090fdcd1e3f1eb96574489,ROOTCOMP-5a553f21bdb561d623c450c5,Flora,IL,2022,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-576b903510fe476aebb0112d,ROOTCOMP-90fac9a1c1971401d57b5328,Freeport,IL,2019,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-f83100d4cc23ae3f9c814c4e,ROOTCOMP-57b4b752db03a71078e0a1e2,Harrisburg,IL,2025,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-f41c8d487603829be073a0aa,ROOTCOMP-2c1897919543d4c1f8e97779,Harrisburg,IL,2025,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-a78dfa062d9632d205e5eefa,ROOTCOMP-b9960f0c489a719aefd72714,Kewanee,IL,2022,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-3adc34ced5f45d3dcd885e3a,ROOTCOMP-a29007ee42aae0847840cae4,Lakewood,IL,undated-source-BRMGRS-20260802-f3b4a4cc9909cab8b325ee4f,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-956081af28fe77e56c83fb4c,ROOTCOMP-4c3a5619e8f28ed4fd349c16,Princeville,IL,2021,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-a00ebc2f928c52aa865aacf4,ROOTCOMP-da28751bb67621d614fa20de,Riverton,IL,2024,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-22b1d5fc761936a6df501751,ROOTCOMP-598456ba5f2b2f2039117f47,Sesser,IL,2026,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-8dbf83406d24a4fcc503a897,ROOTCOMP-2ae20102edecbadd4652bccc,Sterling,IL,2016,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-e0503535d7c79327e368408d,ROOTCOMP-83feef47c1cbd79cfa631948,Sterling,IL,2017,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-579d2cc4440b0294fe873d2b,ROOTCOMP-8040727e1a67672e2bf4c754,Sterling,IL,undated-source-BRMGRS-20260802-86eb181f5a708a9562429b72,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-336576071292ba4dc27acde9,ROOTCOMP-889ae6bd590b06b61c6f92b0,Sterling,IL,undated-source-BRMGRS-20260802-86eb181f5a708a9562429b72,compensation_outcome,non_base_compensation_other,mixed,implemented,high
MECHEXP-1113e00d33fca47e78088d45,ROOTCOMP-ea53aaca787127ff5bbecad1,Sterling,IL,undated-source-BRMGRS-20260802-8e4e1501a3d6fa95f0274c0b,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-2c6b152456c3ade5549ba548,ROOTCOMP-f3b3db4a4c591fe47a2b64ff,Urbana,IL,2023,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-3aed587c131b719e602e43e9,ROOTCOMP-ac6ffb7a6a5b8233dc7efd9f,Urbana,IL,2024,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-9d2bbc9181b6b259207f03b5,ROOTCOMP-cac71faecf67e1eaa3d27b48,Gentryville,IN,undated-source-BRMGRS-20260802-f64b87df381833a4c7a192e7,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-b7643ad989b147ff57639f48,ROOTCOMP-afbde9ba8be3d58273efc2b0,Grandview,IN,undated-source-BRMGRS-20260802-c7938058c73ed696b4feeae4,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-84b8adc7ff3512475913cb93,ROOTCOMP-722e21812991dcdbd4fdf2ed,Hagerstown,IN,2024,compensation_outcome,non_base_compensation_other,remains_unclear,formally_adopted,high
MECHEXP-7ab2bb7da14812845b954275,ROOTCOMP-632692c035b3fd3969689885,Jackson,IN,2018,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-2acb3e43549ee4328b0225c5,ROOTCOMP-8e20a5fd0a515f385323b731,Jackson,IN,2020,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-dd6d82b4d3bfd8f11f5cce16,ROOTCOMP-aa93c118714e693edbf9743c,Jackson,IN,2021,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-11b237196dde241ee3e4a9cd,ROOTCOMP-33f2764f871f702b63bdfd4c,New Richmond,IN,2021,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-74b503f99442bce09758492c,ROOTCOMP-6ce7fa6e96551e31d1d8e61f,Wheatfield,IN,2024,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-42da1c3d50ff8473d44ed1f1,ROOTCOMP-33146debd495afec096d8e81,Hiawatha,KS,2020,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-92c6eaf5df957ec350280823,ROOTCOMP-f8f801f77e1f6d63914e3586,Lawrence,KS,2023,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-39fb7d4c24815febe4bd766d,ROOTCOMP-8ec58759d976521d9f19987a,Wilson,KS,2024,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-60e2a220864bea037ccd2249,ROOTCOMP-a38352be34bf88ba581d6cd4,Dry Ridge,KY,2015,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-a20fce525a0b73ae6719800b,ROOTCOMP-ab95d5104535777d94ca179e,Allegan,MI,2014,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-fea4bf0fa4c7ef661c3d07ca,ROOTCOMP-faa5b1c1843db3041f71b61b,Allegan,MI,undated-source-BRMGRS-20260802-56ac3cb4c44b6e0f2d10047b,compensation_outcome,non_base_compensation_other,non_safety,implemented,high
MECHEXP-97cd1a3ef13285f1d33b068d,ROOTCOMP-46eda6e35784c8c814a1b892,Allegan,MI,undated-source-BRMGRS-20260802-56ac3cb4c44b6e0f2d10047b,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-2b39207f598cc6ae3dd94c09,ROOTCOMP-2cf90a24e74c3bab8bf04b16,Au Train,MI,2022,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-8509df5c1652ee257b0ca509,ROOTCOMP-dda63f727f7eb2987daac9d7,Au Train,MI,2024,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-d253a7164ac9ff540e514f74,ROOTCOMP-7f015875768684e960a2b74f,Bay,MI,2019,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-232453c59c6f07b9cccf5738,ROOTCOMP-efb4eee1ec423829ccdfbf53,Bay,MI,2022,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-cc3497a498f040f5e86aa4ae,ROOTCOMP-d29d8f074816861301e78f68,Bay,MI,2026,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-bc7071950843cc87c774d29b,ROOTCOMP-6daaa59349e6dbf9c5ea4ee5,Big Rapids charter,MI,2025,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-a1aba3fd1bbf65f675b93d52,ROOTCOMP-b5c7f0bb096b9dbbfbd420f8,Brownstown charter,MI,undated-source-B4X2500LIVE-20260729-005363,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-3f446b8d6230377e4fc7cc39,ROOTCOMP-976b91aeed59005ff50c1944,Burt,MI,2019,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-e584797d62b99433263b24c4,ROOTCOMP-bbdfc5d36ed9253d0adcf7e8,Carrollton,MI,2023,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-febc5e0a6a74d237fa40c5fb,ROOTCOMP-08463de3193f6a6f9b56a35c,Carrollton,MI,2023,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-54c817f4204ec3ae551c8f07,ROOTCOMP-85b26cdf3f6e07c2da128de0,Frankenmuth,MI,2024,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-a74cf43ae6dd9b0daa3745a5,ROOTCOMP-cf3e49182df7eb7d42364c7b,Gaines,MI,2025,compensation_outcome,non_base_compensation_other,fire,implemented,high
MECHEXP-9ed51abaf0f4bf4426c6af77,ROOTCOMP-f9b6a2cd1577fbd63167383c,Gaines,MI,2025,compensation_outcome,non_base_compensation_other,remains_unclear,implemented,high
MECHEXP-fc8fd0dcc26fd117d45c3d9a,ROOTCOMP-847f65d6c00e8e63bb081910,Gibraltar,MI,undated-source-B4X2500LIVE-20260729-005398,compensation_outcome,non_base_compensation_other,police,implemented,high
MECHEXP-857300bd094ae0aa345d7f4a,ROOTCOMP-3d85ffa37100b68ef26d531f,Hart,MI,2026,compensation_outcome,non_base_compensation_other,police,implemented,high
