mechanism_exposure_event_id,root_compensation_event_id,municipality,state,compensation_cycle_id,mechanism_family,mechanism_tag,side,implementation_status,implementation_confidence
MECHEXP-c80541c599524599275878d7,ROOTCOMP-8579bd70344616ba47d5c4e0,Stevenson,AL,undated-source-B4X2500LIVE-20260729-009226,institutional_channel,settlement_or_mou,side_independent,formally_adopted,high
MECHEXP-3b94f306a63e565cb5ccbf5c,ROOTCOMP-d4251540f5c9c1c93e2eaffb,Gustine,CA,2026,institutional_channel,settlement_or_mou,remains_unclear,formally_adopted,high
MECHEXP-fdf707d1bd92d8add3798375,ROOTCOMP-0ef92b502abdb6256454c508,Dinosaur,CO,undated-source-B4X2500LIVE-20260729-004829,institutional_channel,settlement_or_mou,remains_unclear,implemented,high
MECHEXP-105f6fcdd6d32ced7b540155,ROOTCOMP-c4b877346b185afa15a6d840,Sewall's Point,FL,2021,institutional_channel,settlement_or_mou,remains_unclear,implemented,high
MECHEXP-ed5ffb5e7e7f1a6be6dc9596,ROOTCOMP-2095f770349bd4fbebc5fc66,Newcastle,IN,undated-source-BRMGRS-20260802-76f3f4ec66d86a32e1901c39,institutional_channel,settlement_or_mou,non_safety,implemented,high
MECHEXP-5dc2620522b549e985c02f27,ROOTCOMP-c7be20ba6722944fd4eade4a,Union,IN,2024,institutional_channel,settlement_or_mou,police,implemented,high
MECHEXP-ce94e9dd262428c3377ac748,ROOTCOMP-8719db112ee50faef640b0dc,Ogunquit,ME,undated-source-B4X2500LIVE-20260729-001139,institutional_channel,settlement_or_mou,fire,implemented,high
MECHEXP-c7d1a55f8a35c78079e52bf8,ROOTCOMP-7e139ae8a17be1d3e23b480c,Grosse Ile,MI,undated-source-BRMGRS-20260802-5574980324c1e88bc178473b,institutional_channel,settlement_or_mou,police,implemented,high
MECHEXP-ba2e2cd22dd4271eabf3f49f,ROOTCOMP-464e8869fabb29235a4308b2,Blackduck,MN,2018,institutional_channel,settlement_or_mou,fire,paid_or_observed,high
MECHEXP-9670a563039438bc2f36c6bc,ROOTCOMP-1ef8c8046e84ef7da8725bfb,Blackduck,MN,2018,institutional_channel,settlement_or_mou,remains_unclear,implemented,high
MECHEXP-f4a555c9eff7fe9eb60857dc,ROOTCOMP-051066c77514a95be30ac9cb,Blooming Prairie,MN,2026,institutional_channel,settlement_or_mou,remains_unclear,paid_or_observed,high
MECHEXP-efb6927a8984f98af2e81023,ROOTCOMP-ebef6b2c2a31d592ca25b4f9,Floodwood,MN,2023,institutional_channel,settlement_or_mou,police,implemented,high
MECHEXP-d3ed0a412e7ef7b7e7eaca0d,ROOTCOMP-27bf1de291068e7e9e337f4e,Hinckley,MN,undated-source-B4X2500LIVE-20260729-000531,institutional_channel,settlement_or_mou,side_independent,formally_adopted,high
MECHEXP-87babb4324fcd591c89fb0eb,ROOTCOMP-c5b42a5c39ae9e90990871d3,Ivanhoe,MN,2026,institutional_channel,settlement_or_mou,side_independent,formally_adopted,high
MECHEXP-505b27257c796014966bfcb3,ROOTCOMP-35efb7ca07c5e56cdaf08895,Madelia,MN,2026,institutional_channel,settlement_or_mou,police,implemented,high
MECHEXP-12055358c272700edfbde42a,ROOTCOMP-c820040d2b239c6a1c6f9f51,Maple Lake,MN,undated-source-B4X2500LIVE-20260729-005536,institutional_channel,settlement_or_mou,remains_unclear,formally_adopted,high
MECHEXP-4ca8eb44318c11910476b42d,ROOTCOMP-6c516cc061e4eb9307d520e6,Marshall,MN,2024,institutional_channel,settlement_or_mou,remains_unclear,implemented,high
