centroid_latitude,centroid_longitude,compensation_outcome,confidence_high_count,confidence_moderate_count,corroborated_event_count,difference,disclosure_flags,geography_panel,hex_cell_id,implementation_event_count,implementation_status_scope,institutional_channel,mechanism_view_name,non_safety_count,one_time_event_count,pressure_channel,projected_hex_center_x,projected_hex_center_y,recurring_event_count,root_compensation_event_count,rural_event_count,safety_count,side,timing_channel,unique_cycle_count,unique_municipality_count,unknown_urbanicity_count,urban_event_count
,,,,,,,,lower_48,CONUS50-+00004-+00013,2,,,compensation_outcome:retroactive_pay,,,,300000.0,1299038.106,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00005-+00013,3,,,compensation_outcome:retroactive_pay,,,,375000.0,1342339.376,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00030-+00036,8,,,compensation_outcome:retroactive_pay,,,,-2250000.0,1818653.348,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00029-+00036,2,,,compensation_outcome:retroactive_pay,,,,-2175000.0,1861954.618,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00029-+00037,1,,,compensation_outcome:retroactive_pay,,,,-2175000.0,1948557.159,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00024-+00027,1,,,compensation_outcome:retroactive_pay,,,,-1800000.0,1299038.106,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00030-+00039,2,,,compensation_outcome:retroactive_pay,,,,-2250000.0,2078460.969,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00012-+00025,1,,,compensation_outcome:retroactive_pay,,,,-900000.0,1645448.267,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00014-+00027,2,,,compensation_outcome:retroactive_pay,,,,-1050000.0,1732050.808,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00025-+00014,2,,,compensation_outcome:retroactive_pay,,,,1875000.0,2294967.32,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00021--00005,4,,,compensation_outcome:retroactive_pay,,,,1575000.0,476313.972,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00021--00007,1,,,compensation_outcome:retroactive_pay,,,,1575000.0,303108.891,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00021--00004,1,,,compensation_outcome:retroactive_pay,,,,1575000.0,562916.512,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00016-+00006,1,,,compensation_outcome:retroactive_pay,,,,1200000.0,1212435.565,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00002-+00023,2,,,compensation_outcome:retroactive_pay,,,,150000.0,2078460.969,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00002-+00024,2,,,compensation_outcome:retroactive_pay,,,,150000.0,2165063.509,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00000-+00025,1,,,compensation_outcome:retroactive_pay,,,,0.0,2165063.509,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00001-+00024,1,,,compensation_outcome:retroactive_pay,,,,75000.0,2121762.239,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00003-+00025,1,,,compensation_outcome:retroactive_pay,,,,225000.0,2294967.32,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00005-+00022,1,,,compensation_outcome:retroactive_pay,,,,375000.0,2121762.239,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00008-+00021,16,,,compensation_outcome:retroactive_pay,,,,600000.0,2165063.509,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00008-+00015,2,,,compensation_outcome:retroactive_pay,,,,600000.0,1645448.267,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00007-+00017,2,,,compensation_outcome:retroactive_pay,,,,525000.0,1775352.078,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00009-+00020,16,,,compensation_outcome:retroactive_pay,,,,675000.0,2121762.239,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00007-+00018,2,,,compensation_outcome:retroactive_pay,,,,525000.0,1861954.618,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00009-+00017,4,,,compensation_outcome:retroactive_pay,,,,675000.0,1861954.618,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00007-+00019,3,,,compensation_outcome:retroactive_pay,,,,525000.0,1948557.159,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00006-+00021,3,,,compensation_outcome:retroactive_pay,,,,450000.0,2078460.969,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00009-+00018,3,,,compensation_outcome:retroactive_pay,,,,675000.0,1948557.159,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00008-+00016,1,,,compensation_outcome:retroactive_pay,,,,600000.0,1732050.808,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00008-+00020,1,,,compensation_outcome:retroactive_pay,,,,600000.0,2078460.969,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00007-+00021,2,,,compensation_outcome:retroactive_pay,,,,525000.0,2121762.239,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00009-+00021,2,,,compensation_outcome:retroactive_pay,,,,675000.0,2208364.78,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00012-+00014,1,,,compensation_outcome:retroactive_pay,,,,900000.0,1732050.808,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00010-+00015,3,,,compensation_outcome:retroactive_pay,,,,750000.0,1732050.808,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00012-+00016,1,,,compensation_outcome:retroactive_pay,,,,900000.0,1905255.888,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00012-+00017,3,,,compensation_outcome:retroactive_pay,,,,900000.0,1991858.429,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00011-+00019,3,,,compensation_outcome:retroactive_pay,,,,825000.0,2121762.239,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00010-+00019,1,,,compensation_outcome:retroactive_pay,,,,750000.0,2078460.969,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00001-+00018,1,,,compensation_outcome:retroactive_pay,,,,75000.0,1602146.997,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50--00002-+00020,1,,,compensation_outcome:retroactive_pay,,,,-150000.0,1645448.267,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00001-+00020,1,,,compensation_outcome:retroactive_pay,,,,75000.0,1775352.078,,,,,safety_combined,,,,,
,,,,,,,,lower_48,CONUS50-+00015-+00013,3,,,compensation_outcome:retroactive_pay,,,,1125000.0,1775352.078,,,,,safety_combined,,,,,
