filename,obs_id,city_id,city_name,state,bargaining_unit_name,occupation_class,cycle_start,cycle_end,source_type,source_url_or_cite,retrieval_date,retrieval_method,predecessor_obs_id,base_wage_entry,base_wage_top,pct_increase_annual,num_steps,years_to_top,longevity_pay_flag,longevity_detail,total_comp_note,binding_arbitration_statute,text_quality
ma_boston_police_bppa_moa_2020_2025.pdf,ma_boston_police_2020,ma_boston,Boston,MA,Boston Police Patrolmen Association,police,2020-07-01,2025-06-30,cba,https://www.boston.gov/sites/default/files/file/2023/12/BPPA%20MOA%202020-2025.pdf,2026-06-17,public_download,,,,,,,,,"WAGE MOA ONLY — all pages are scanned photographs; OCR requires pytesseract (not installed). Manual extraction needed. Cycle dates estimated from portal title (2020-2025).",MA G.L. c. 1078 (JLMC),partial
ma_boston_clerical_sena9158_cba_2023_2027.pdf,ma_boston_clerical_admin_2023,ma_boston,Boston,MA,"United Steelworkers AFL-CIO CLC on behalf of Salaried Employees of North America Local 9158",clerical_admin,2023-10-01,2027-09-30,cba,https://www.boston.gov/sites/default/files/file/2025/12/SENA%2C%20Local%209158%20CBA%202023-2027.pdf,2026-06-17,public_download,,,,,,,,"Full base CBA. City-wide administrative/clerical unit; merged units include SENA 9158E (Public Facilities/DND) and 9158F (BCYF). Has no-strike and binding arbitration clauses.",MA G.L. c. 1078 (JLMC),clean
ma_somerville_police_spsoa_cba_1997_2018.pdf,ma_somerville_police_spsoa_2012,ma_somerville,Somerville,MA,Somerville Police Superior Officers Association,police,2012-07-01,2018-06-30,arbitration_award,https://cdn.muckrock.com/foia_files/2020/08/27/SPSOA_1997_-_2018_reduced.pdf,2026-06-17,public_download,,,,0.0225,,,,"Document is base CBA (1997-2000) + amendments through 2018. Terminal 6-year award (June 2018; neutral Gary D. Altman): FY13=2.5%; FY14-16=2%; FY17-18=2.5%. Retrieved from MuckRock public FOIA release. Integrated with JLMC arbitration decision.",MA G.L. c. 1078 (JLMC),ocr_messy
ma_somerville_police_spea_cba_2004_2015.pdf,ma_somerville_police_spea_2012,ma_somerville,Somerville,MA,Somerville Police Employees Association,police,2012-07-01,2015-06-30,arbitration_award,https://cdn.muckrock.com/foia_files/2020/08/27/SPEA_CBA_July_1_2004_-_June_30_2015.pdf,2026-06-17,public_download,,,,0.022,,,,"Document is base CBA (2004-2008) + amendments through 2015. Terminal award (December 22 2016; neutral Gary D. Altman): FY13=2.5%; FY14=2%; FY15=2%. Retrieved from MuckRock public FOIA release. Full mechanism clauses present.",MA G.L. c. 1078 (JLMC),clean
ma_arlington_fire_iaff_cba_fy2022_2024.pdf,ma_arlington_fire_2021,ma_arlington,Arlington,MA,"International Association of Firefighters, AFL-CIO, Local 1297",fire,2021-07-01,2024-06-30,cba,https://archive.org/download/Arlington_MA_ShowDocument_Id_62647/Fire%20Contract%20FY20222024_text.pdf,2026-06-17,public_download,,56074,67331,0.0465,7,,1,Longevity payment percentage of base salary per Appendix A; details require OCR verification,"Full base CBA (44 pp, IA OCR). IAFF Local 1297 covers firefighters lieutenants captains deputy chiefs. Night tour differential 5.4% of base. EMT stipend 5% FY2022 / 5.5% FY2023. Three annual salary tables embedded; FY2023 increase ~4.84% FY2024 ~4.46% (Step 7 comparison). Wages and longevity detail require manual verification due to OCR artifacts.",MA G.L. c. 1078 (JLMC),ocr_messy
ma_arlington_afscme_cba_fy2016_2018.pdf,ma_arlington_public_works_2015,ma_arlington,Arlington,MA,"American Federation of State County and Municipal Employees, Council 93, Local 680",public_works,2015-07-01,2018-06-30,cba,https://archive.org/download/Arlington_MA_ShowDocument_Id_35623/AFSCMEContractFY20162018.pdf,2026-06-17,public_download,,,,0.02,,,1,Longevity schedule in Appendix A,"Full base CBA (30 pp, clean text). Covers Labor Service (DPW, custodians), clerical, civil engineers grades 1-3, and administrative personnel (excludes police/fire/school committee). FY2016: 2%; FY2017: 2%; FY2018: 2%. Comparability clause present. No-strike and grievance/arbitration clauses present.",MA G.L. c. 150E,clean
ma_arlington_afscme_cba_fy2018_2021.pdf,ma_arlington_public_works_2018,ma_arlington,Arlington,MA,"American Federation of State County and Municipal Employees, Council 93, Local 680",public_works,2018-07-01,2021-06-30,cba,https://archive.org/download/Arlington_MA_ShowDocument_Id_47592/AFSCMEContractFY20182021.pdf,2026-06-17,public_download,,,,0.0167,,,1,Longevity schedule in Appendix A,"Full base CBA (31 pp, clean text). FY2019: 2% + $0.35 market adj to top step (Jan 2019). FY2020: 2% + $0.20 market adj to top step (Jan 2020). FY2021: 1%. Average annual increase 1.67%. Comparability clause present. Predecessor contract: AFSCME FY2016-2018.",MA G.L. c. 150E,clean
ma_arlington_afscme_cba_thru_june2024.pdf,ma_arlington_public_works_2021,ma_arlington,Arlington,MA,"American Federation of State County and Municipal Employees, Council 93, Local 680",public_works,2021-07-01,2024-06-30,cba,https://archive.org/download/Arlington_MA_ShowDocument_Id_62981/AFSCME%20Contract%20Expires%20Ju.pdf,2026-06-17,public_download,,,,,,,1,,Full base CBA (35 pp) but scanned with poor OCR (4485 text chars from 35 pages). Cycle Jul 2021-Jun 2024 matches Arlington Fire FY2022-2024 exactly. Wage rates and mechanism clause text require OCR or manual extraction for GABRIEL fields.,MA G.L. c. 150E,ocr_messy
ma_newton_police_cba_lris.pdf,ma_newton_police_2015,ma_newton,Newton,MA,Newton Police Association (union name unconfirmed — document scanned no text layer),police,2015-07-01,2018-06-30,cba,https://www.lris.com/wp-content/uploads/contracts/newton_ma_police.pdf,2026-06-17,public_download,,,,,,,,,CYCLE DATES ESTIMATED. Scanned PDF 74 pages 43MB ~0 extractable text chars. File created March 2018 suggests this is the then-current contract (likely 2015-2018 or 2016-2019 cycle). All fields including union name and cycle dates require OCR (pytesseract not installed). Source: LRIS public contract database.,MA G.L. c. 1078 (JLMC),partial
ma_georgetown_police_command_staff_2020_2023_ocr.pdf,ma_georgetown_police_2020,ma_georgetown,Georgetown,MA,"American Federation of State, County and Municipal Employees, AFL-CIO Council 93, Local 939 (Police Command Staff)",police,2020-07-01,2023-06-30,cba,https://www.statereference.com/items/dlr_contracts/20210818_ascme_local_939_police_command_staff_7_1_20_to_6_30_23_georgetown_town_of,2026-06-23,public_download,,,,0.02,,,1,"Longevity for Police Department employees with 15+ years; see Article 18.","StateReference DLR Contracts item. Original image-only PDF and StateReference OCR PDF downloaded locally; OCR text confirms Town of Georgetown police command staff unit (Lieutenant, Sergeant, Detective Sergeant), full municipal contract, 2020-2023 cycle, and 2% COLA effective July 1 of 2020, 2021, and 2022. DLR original route: Public Information Search employer Georgetown, Town of.",MA G.L. c. 1078 (JLMC),clean
